DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5
1046.89689,572.25,-4329.32414,1.00815
1046.57722,572.35,-3798.79424,1.00909
1046.48001,572.45,-3268.26435,1.00938
1046.26657,572.55,-2744.40779,1.01
1046.12282,572.66,-2185.51623,1.01042
1045.65876,572.77,-1666.66467,1.01177
1045.01092,572.88,-1177.8431,1.01366
1043.98394,572.99,-709.04152,1.01668
1042.76181,573.1,-260.25995,1.0203
1041.57881,573.21,168.50163,1.02379
1040.67707,573.32,577.24322,1.02646
1039.88349,573.43,965.96481,1.02881
1038.77478,573.54,1344.6764,1.0321
1037.76578,573.65,1723.38799,1.03509
1036.63178,573.75,2083.74792,1.03845
1035.56761,573.85,2434.09785,1.04163
1034.65161,573.95,2784.44778,1.04438
1034.01961,574.05,3124.78771,1.0463
1033.81849,574.15,3475.13764,1.04691
1033.56857,574.25,3845.50757,1.04767
1033.45604,574.35,4225.88749,1.04802
1033.14146,574.45,4599.59408,1.04897
1033.06713,574.55,4989.984,1.0492
1032.86813,574.65,5360.35393,1.0498
1032.64863,574.75,5720.71386,1.05047
1032.57822,574.85,6094.42045,1.05068
1032.61343,574.95,6484.81037,1.05057
1032.68297,575.05,6895.22029,1.05036
1032.49139,575.15,7315.64021,1.05094
1032.20122,575.25,7726.05012,1.05183
1031.93276,575.35,8116.44005,1.05265
1031.96579,575.45,8523.5133,1.05255
1031.98842,575.55,8933.92322,1.05248
1031.65819,575.65,9374.36313,1.0535
1031.35315,575.75,9824.81304,1.05444
1031.34931,575.85,10291.94628,1.05445
1031.23029,575.95,10735.72286,1.05482
