DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5
1082.64781,545.42,-4592.92075,1.01065
1082.61698,545.53,-4175.8375,1.01074
1082.6409,545.65,-3735.39759,1.01067
1082.61288,545.77,-3314.97767,1.01075
1082.5425,545.88,-2914.57775,1.01094
1082.34808,545.99,-2534.19783,1.01149
1082.4165,546.1,-2173.8379,1.0113
1082.19679,546.21,-1813.47797,1.01192
1080.98463,546.33,-1443.50699,1.01544
1080.28896,546.45,-1104.8354,1.01742
1079.39329,546.57,-756.1538,1.01997
1078.50538,546.69,-437.5022,1.0225
1077.33238,546.8,-138.87059,1.02586
1076.18175,546.92,149.75102,1.02917
1074.90817,547.04,418.35263,1.03282
1073.5885,547.16,676.94425,1.03662
1072.22404,547.28,945.54586,1.04054
1070.93404,547.4,1214.14747,1.04426
1070.54192,547.51,1453.11804,1.04537
1069.60783,547.62,1713.37799,1.04809
1069.03842,547.73,1953.61794,1.04976
1068.37925,547.84,2203.86789,1.05169
1067.95862,547.96,2454.11784,1.05293
1067.51212,548.07,2694.3578,1.05425
1067.11221,548.18,2934.59775,1.05544
1066.77733,548.29,3184.8477,1.05643
1066.4395,548.4,3445.10764,1.05743
1066.1965,548.51,3705.36759,1.05816
1065.84692,548.63,3965.62754,1.0592
1065.51208,548.75,4235.89749,1.0602
1065.21517,548.88,4526.18743,1.06108
1065.03854,549.01,4826.48737,1.06161
1064.92029,549.14,5136.79731,1.06196
1064.88713,549.28,5467.12724,1.06207
1064.64725,549.42,5817.47717,1.06278
1064.40888,549.57,6177.8371,1.0635
1064.20842,549.72,6528.18703,1.0641
1064.136,549.87,6878.53696,1.06432
1064.19292,550.01,7238.89689,1.06415
1064.13567,550.15,7589.24682,1.06433
1063.93758,550.28,7919.57675,1.06493
1063.90071,550.41,8239.89669,1.06504
1063.87554,550.53,8550.20663,1.06511
1063.80183,550.64,8850.50656,1.06533
1064.04496,550.75,9160.8165,1.0646
1064.15529,550.85,9411.06645,1.06427
1064.14204,550.95,9681.3364,1.06432
1063.96621,551.05,9961.61634,1.06484
1064.03038,551.15,10241.89629,1.06465
1064.07658,551.25,10532.18623,1.0645
1064.09208,551.35,10842.49617,1.06445
1063.98,551.46,11162.8161,1.06479
1063.89613,551.57,11493.14604,1.06503
1063.74458,551.68,11816.80264,1.06549
