DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5
1076.9459,529.05,-5897.55716,0.99935
1077.00596,529.15,-5417.07725,0.99919
1076.98596,529.25,-4976.63734,0.99924
1077.13369,529.35,-4516.17743,0.99883
1077.16765,529.45,-4095.75752,0.99874
1077.22074,529.55,-3665.3276,0.99859
1077.12695,529.65,-3234.89769,0.99885
1077.12983,529.75,-2794.45778,0.99884
1077.01756,529.85,-2384.04786,0.99916
1076.58668,529.96,-1974.47211,1.00036
1075.81276,530.07,-1555.72052,1.00254
1074.93897,530.18,-1126.95894,1.00501
1073.86664,530.29,-698.19736,1.00806
1072.63893,530.4,-289.45578,1.01154
1071.32468,530.51,139.30581,1.01528
1069.95904,530.62,548.04739,1.01919
1068.60092,530.73,936.76898,1.02308
1067.01962,530.84,1315.48057,1.02762
1065.65446,530.95,1694.19216,1.03153
1064.30017,531.05,2053.71792,1.03545
1063.21262,531.16,2414.07785,1.03862
1062.23986,531.27,2784.44778,1.04147
1061.47219,531.38,3164.8277,1.04372
1060.64311,531.49,3535.19763,1.04617
1059.84893,531.6,3905.56755,1.04852
1059.25347,531.71,4285.94748,1.05029
1058.74789,531.82,4666.3274,1.05179
1058.35275,531.93,5056.71732,1.05296
1057.69375,532.04,5457.11724,1.05493
1057.14712,532.15,5847.50716,1.05657
1056.79854,532.25,6227.88709,1.05761
1056.55385,532.35,6598.25702,1.05834
1056.24139,532.45,6968.62694,1.05928
1055.96114,532.55,7369.02686,1.06013
1055.75544,532.65,7769.42678,1.06075
1055.64824,532.75,8149.8067,1.06107
1055.48828,532.85,8540.19663,1.06155
1055.24662,532.95,8930.58655,1.06228
1054.98049,533.05,9330.98647,1.06309
1054.82563,533.16,9771.42638,1.06356
1054.58276,533.27,10231.88629,1.06429
1054.25742,533.38,10692.3462,1.06528
1054.02634,533.49,11152.8061,1.06598
1053.8887,533.6,11613.26601,1.06639
1053.79378,533.71,12083.73592,1.06668
1053.5022,533.82,12564.21582,1.06756
1053.31724,533.93,13054.70572,1.06812
1053.0872,534.04,13545.19563,1.06882
1053.17542,534.15,14035.68553,1.06856
