DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5
1091.69023,423.35,-27893.69359,1.02614
1091.53441,423.45,-27288.92288,1.02658
1095.09837,423.55,-26638.27301,1.00369
1095.28841,423.65,-25942.57815,1.00289
1088.11723,423.75,-25260.89729,1.0515
1088.77684,423.85,-24566.87076,1.0489
1088.92698,423.95,-23899.53756,1.04849
1089.65499,424.05,-23228.20036,1.04668
1089.67692,424.15,-22584.22382,1.04662
1089.6623,424.25,-21923.56395,1.04668
1089.33732,424.35,-21286.26075,1.04758
1089.25168,424.45,-20617.25921,1.04796
1089.04247,424.55,-20006.64934,1.04851
1088.73568,424.65,-19421.06445,1.04935
1095.88545,424.75,-18835.47957,1.00081
1095.79078,424.85,-18271.58302,1.00107
1095.49163,424.95,-17714.35979,1.00189
1094.69962,425.05,-17190.50323,1.00558
1094.89981,425.15,-16663.31,1.00504
1095.13856,425.25,-16162.8101,1.00437
1095.63144,425.35,-15692.3402,1.00304
1096.20835,425.45,-15236.88529,1.00132
1096.5836,425.55,-14746.39539,1.00029
1097.05119,425.65,-14265.91548,0.99902
1096.86431,425.75,-13842.1589,0.99953
1097.29889,425.85,-13431.74898,0.99834
1096.24551,425.95,-13021.33907,1.00644
1096.42997,426.05,-12610.92915,1.00424
1096.54114,426.15,-12220.53922,1.00393
1096.82347,426.25,-11830.1493,1.00317
1096.70581,426.35,-11419.73938,1.00345
1096.47997,426.45,-11019.33946,1.00407
1096.73756,426.55,-10638.95954,1.00337
1096.40293,426.65,-10268.58961,1.00427
1096.72638,426.75,-9871.52636,1.00338
1092.18121,426.85,-9471.12644,1.03502
1093.42665,426.95,-9065.72152,1.02658
1093.45832,427.05,-8645.30161,1.02648
1093.45027,427.15,-8224.88169,1.0265
1093.18469,427.25,-7804.46177,1.02721
1092.75724,427.35,-7364.02186,1.02904
1092.69807,427.45,-6913.57195,1.02919
1092.15828,427.55,-6473.13204,1.03251
1093.00282,427.65,-6022.68213,1.03069
1089.89982,427.75,-5572.23222,1.05168
1088.00657,427.85,-5131.79231,1.06336
1088.51413,427.96,-4696.3574,1.06178
1087.09794,428.07,-4275.93748,1.07504
1086.84015,428.18,-3845.50756,1.07574
1081.48281,428.29,-3435.09765,1.10712
1082.09227,428.4,-3064.72772,1.10479
1071.77768,428.51,-2714.37779,1.17282
1068.12181,428.62,-2364.02786,1.19107
1063.81806,428.73,-2043.70792,1.22682
1063.91931,428.84,-1743.40798,1.21445
1061.41697,428.95,-1463.12804,1.22451
1060.52861,429.05,-1202.86809,1.24627
1052.70974,429.17,-963.46231,1.26604
1046.3064,429.44,-744.91068,1.28998
,430.05,-526.35906,
,430.86,-307.80744,
,431.96,-99.26581,
,433.35,99.26581,
,434.97,290.28994,
