DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5
1017.22452,440.25,-10046.34805,1.00665
1017.23911,440.35,-9570.15814,1.0066
1017.17656,440.45,-9043.63225,1.00679
1017.10668,440.55,-8453.53864,1.007
1017.11406,440.65,-7660.7468,1.00697
1017.07757,440.75,-6868.52696,1.00708
1017.07172,440.85,-6498.15703,1.0071
1017.11818,440.95,-6137.79711,1.00696
1017.1679,441.05,-5767.42718,1.00681
1017.19282,441.16,-5377.03726,1.00674
1017.24778,441.28,-4986.64734,1.00658
1017.2294,441.4,-4616.27741,1.00663
1017.32344,441.52,-4255.91748,1.00636
1017.34128,441.64,-3895.55756,1.0063
1017.37589,441.76,-3555.21762,1.0062
1017.44276,441.88,-3224.88769,1.00601
1017.52697,442.01,-2894.55775,1.00576
1017.51372,442.14,-2584.24782,1.0058
1017.597,442.27,-2303.96787,1.00555
1017.60383,442.39,-2053.71792,1.00553
1017.57908,442.5,-1813.47797,1.0056
1017.59325,442.61,-1563.22802,1.00556
1017.61254,442.73,-1274.60641,1.0055
1017.67338,442.85,-995.9948,1.00532
1017.57954,442.98,-707.37319,1.0056
1017.44842,443.11,-418.75158,1.00599
1017.24917,443.23,-140.13997,1.00658
1017.00958,443.35,138.47164,1.00729
1016.76208,443.47,427.09325,1.00803
1016.44233,443.59,725.72486,1.00898
1016.16671,443.71,1034.36646,1.0098
1015.94254,443.83,1343.00807,1.01047
1015.54638,443.94,1603.26801,1.01165
1015.13988,444.05,1873.53796,1.01287
1014.89658,444.15,2153.8179,1.01359
1014.68686,444.26,2454.11784,1.01422
1014.40336,444.37,2784.44778,1.01508
1014.20757,444.48,3134.79771,1.01566
1013.90019,444.6,3505.16763,1.01659
1013.75328,444.72,3865.52756,1.01703
1013.5834,444.84,4235.89749,1.01754
1013.39899,444.96,4626.28741,1.0181
1013.17222,445.08,5452.11224,1.01878
1012.933,445.2,6425.58455,1.0195
1012.65135,445.32,7411.56935,1.02036
1012.37393,445.43,8282.43918,1.02119
1012.19435,445.54,9033.18903,1.02174
1012.01902,445.65,9781.43638,1.02227
1011.94979,445.75,10530.18423,1.02248
1011.80911,445.85,11240.12409,1.02291
1011.61165,445.95,12491.37384,1.02351
1011.46551,446.05,13725.94026,1.02395
