DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5
1071.94305,555.25,-9412.73479,1.00553
1071.71884,555.35,-8878.86823,1.00616
1071.53988,555.45,-8323.31334,1.00666
1071.3558,555.55,-7752.74345,1.00718
1071.20092,555.65,-7172.16357,1.00762
1071.27675,555.76,-6571.56369,1.00741
1071.42042,555.87,-5980.97381,1.007
1071.45292,555.98,-5407.06725,1.00691
1071.5484,556.09,-4841.50237,1.00664
1071.62305,556.2,-4327.6558,1.00643
1071.69089,556.31,-3827.1559,1.00624
1071.58651,556.42,-3336.666,1.00654
1071.57601,556.53,-2851.1811,1.00657
1071.54084,556.64,-2390.72119,1.00667
1071.19719,556.75,-1970.30127,1.00764
1070.47274,556.85,-1590.75552,1.00971
1069.09874,556.95,-1212.04392,1.01367
1067.41749,557.05,-843.34233,1.01855
1065.45699,557.16,-494.66073,1.02426
1063.12963,557.27,-129.29581,1.03109
1060.84217,557.38,199.36579,1.03783
1058.692,557.49,508.0074,1.04417
1056.22496,557.6,806.63901,1.05148
1053.69013,557.71,1115.28061,1.05902
1051.18138,557.82,1433.93221,1.06656
1048.71579,557.93,1743.40798,1.07402
1046.69617,558.05,2053.71792,1.08023
1044.92438,558.17,2374.03786,1.08571
1043.22204,558.28,2684.3478,1.09102
1042.04679,558.39,2984.64774,1.09471
1040.86283,558.5,3294.95767,1.09843
1039.60392,558.61,3615.27761,1.1024
1038.32271,558.72,3935.59755,1.10647
1037.29163,558.83,4245.90748,1.10975
1036.35192,558.94,4556.21742,1.11276
1035.48004,559.05,4866.52736,1.11557
1034.85717,559.15,5166.8273,1.11759
1034.31646,559.25,5457.11724,1.11934
1033.85438,559.35,5747.40718,1.12084
1033.09017,559.45,6057.71712,1.12333
1032.31971,559.55,6368.02706,1.12585
1031.60575,559.65,6678.337,1.12818
1031.19062,559.75,6988.64694,1.12954
1030.77779,559.85,7298.95687,1.13089
1030.44978,559.95,7629.28681,1.13197
1030.16111,560.05,7969.62674,1.13292
1029.83361,560.15,8329.98667,1.134
1029.46544,560.25,8710.36659,1.13521
1029.17186,560.35,9080.73652,1.13618
1029.00303,560.45,9441.09645,1.13674
1028.87824,560.55,9811.46637,1.13715
1028.66061,560.65,10181.8363,1.13788
1028.42699,560.75,10572.22622,1.13865
1028.04124,560.86,10992.64614,1.13994
1027.74931,560.97,11399.71939,1.14091
