DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5
1066.38631,499.95,-11353.84023,1.00481
1066.28006,500.05,-10923.41032,1.00511
1066.08448,500.15,-10452.10625,1.00567
1066.06424,500.25,-9981.63634,1.00572
1066.0351,500.35,-9531.18643,1.0058
1066.11674,500.45,-9090.74652,1.00557
1066.05312,500.55,-8640.29661,1.00575
1066.12576,500.65,-8179.8367,1.00555
1066.1096,500.75,-7729.38679,1.00559
1066.14926,500.85,-7308.96687,1.00548
1066.18985,500.95,-6888.54696,1.00536
1066.18157,501.06,-6458.11704,1.00539
1066.02824,501.17,-6017.67713,1.00582
1066.08631,501.28,-5587.24722,1.00566
1066.10706,501.39,-5166.8273,1.0056
1066.09021,501.5,-4756.41738,1.00565
1066.19246,501.61,-4356.01746,1.00536
1066.25215,501.72,-3975.63754,1.00519
1066.34349,501.83,-3605.26761,1.00493
1066.38551,501.94,-3244.90769,1.00481
1066.38531,502.05,-2914.57775,1.00481
1066.59629,502.15,-2604.26781,1.00422
1066.85238,502.25,-2303.96787,1.00349
1066.78558,502.35,-2013.67793,1.00368
1066.80925,502.45,-1723.38799,1.00362
1066.66371,502.55,-1433.09805,1.00403
1066.35921,502.66,-1144.47644,1.00489
1065.90679,502.77,-855.85483,1.00619
1065.13133,502.89,-557.22322,1.0084
1064.213,503.01,-258.59162,1.01104
1063.29483,503.13,40.03999,1.01368
1062.20404,503.25,328.6616,1.01681
1061.18421,503.37,607.27321,1.01974
1060.16713,503.49,885.88482,1.02268
1059.00812,503.61,1164.49643,1.02602
1057.99454,503.73,1443.10804,1.02896
1056.98867,503.84,1713.37799,1.03188
1056.05017,503.95,1993.65793,1.03462
1055.35163,504.06,2263.92788,1.03668
1054.80451,504.17,2544.20782,1.03829
1054.33951,504.28,2844.50776,1.03967
1053.9576,504.39,3144.8077,1.04079
1053.48196,504.5,3465.12764,1.0422
1053.08421,504.61,3805.46757,1.04338
1052.77896,504.72,4145.8075,1.04428
1052.34921,504.83,4486.14744,1.04556
1052.06283,504.94,4826.48737,1.04641
1051.87733,505.05,5156.8173,1.04697
1051.70376,505.15,5476.30307,1.04749
