DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5
1078.0006,424.75,-27000.13444,1.00567
1077.97241,424.85,-26361.99707,1.00575
1077.90771,424.95,-25701.3372,1.00593
1077.80309,425.05,-25020.65733,1.00622
1077.67774,425.15,-24355.99347,1.00657
1077.77929,425.25,-23715.35359,1.00629
1077.70393,425.35,-23094.73372,1.0065
1077.80111,425.45,-22504.14384,1.00622
1077.72945,425.55,-21933.57395,1.00642
1077.73823,425.65,-21383.02406,1.0064
1077.75259,425.75,-20852.49417,1.00637
1077.60445,425.85,-20341.98427,1.00679
1077.41456,425.95,-19851.49437,1.00732
1077.47454,426.05,-19391.03446,1.00715
1077.64462,426.15,-18950.59455,1.00668
1077.54796,426.25,-18556.86796,1.00695
1077.368,426.35,-18146.45804,1.00746
1077.12835,426.45,-17716.02813,1.00814
1077.07932,426.55,-17295.60821,1.00828
1077.04765,426.65,-16875.18829,1.00836
1077.01932,426.75,-16444.75838,1.00844
1077.14107,426.85,-16014.32847,1.0081
1077.37015,426.95,-15573.88855,1.00746
1077.53618,427.05,-15123.43864,1.00699
1077.82282,427.15,-14662.97874,1.00619
1078.06518,427.25,-14165.8155,1.00551
1078.31347,427.35,-13685.3356,1.00481
1078.67067,427.45,-13224.87569,1.0038
1078.92396,427.55,-12754.40578,1.00309
1079.07229,427.65,-12263.91588,1.00267
1079.26721,427.75,-11843.49597,1.00212
1079.30121,427.85,-11423.07605,1.00203
1079.11933,427.95,-11022.67613,1.00254
1078.99989,428.05,-10612.26621,1.00288
1078.69504,428.15,-10201.85629,1.00373
1078.43404,428.25,-9811.46637,1.00446
1078.20638,428.35,-9431.08645,1.0051
1078.04663,428.45,-9040.69653,1.00554
1077.91146,428.55,-8650.3066,1.00592
1077.94946,428.65,-8296.62001,1.00582
1077.99233,428.75,-7866.19009,1.0057
1077.97119,428.85,-7425.75018,1.00576
1078.1884,428.95,-6975.30027,1.00515
1078.44044,429.05,-6554.88036,1.00444
1078.32163,429.15,-6144.47044,1.00478
1078.35288,429.25,-5724.05052,1.00469
1078.44446,429.35,-5313.6406,1.00444
1078.55346,429.45,-4913.24068,1.00413
1078.63054,429.55,-4522.85076,1.00392
1078.68683,429.65,-4115.77751,1.00376
1078.52958,429.75,-3745.40758,1.0042
1078.57153,429.85,-3365.02766,1.00409
1078.48303,429.95,-2974.63774,1.00434
1077.92324,430.05,-2584.24782,1.00591
1077.74043,430.15,-2223.88789,1.00642
1077.67235,430.25,-1873.53796,1.00665
1077.93041,430.35,-1514.0122,1.00592
1078.05449,430.45,-1165.3306,1.00558
1077.91049,430.55,-826.659,1.00598
1077.67345,430.65,-508.0074,1.00664
1077.49266,430.75,-189.3558,1.00714
1077.20194,430.85,99.26581,1.00796
1077.11077,430.95,367.86743,1.00821
1077.20577,431.05,636.46904,1.00794
1077.15827,431.15,915.08065,1.00808
1076.99394,431.25,1193.69226,1.00851
1076.31935,431.36,1493.15804,1.01041
1075.76068,431.47,1813.47797,1.01198
1075.49564,431.58,2133.79791,1.01272
1075.13672,431.69,2454.11784,1.01373
1074.97683,431.8,2804.46777,1.01419
1075.08041,431.91,3174.8377,1.01389
1074.92628,432.02,3545.20763,1.01433
1074.72899,432.13,3925.58755,1.01489
1074.69174,432.24,4315.97747,1.01499
1074.36705,432.35,4726.38739,1.01591
1074.43208,432.45,5126.78731,1.01573
1074.42353,432.55,5517.17723,1.01575
1074.26378,432.65,5907.56715,1.01621
1074.19614,432.75,6322.98207,1.0164
1074.01503,432.85,6733.39199,1.01692
1073.72149,432.95,7143.80191,1.01774
1073.40351,433.05,7574.23182,1.01865
1073.03984,433.16,8034.69173,1.01969
1072.68826,433.27,8505.16163,1.02069
1072.67703,433.38,8955.61154,1.02072
1072.40199,433.49,9416.07145,1.02151
1072.16867,433.6,9902.55735,1.02217
1072.09179,433.71,10433.08725,1.02239
1071.94965,433.82,10968.62214,1.0228
1071.93311,433.93,11529.18203,1.02285
1071.80783,434.04,12095.74792,1.0232
1071.94094,434.15,12696.3478,1.02283
1072.25437,434.25,13240.22435,1.02193
1072.35927,434.35,13810.79424,1.02163
1072.1417,434.45,14441.42411,1.02226
1072.03319,434.55,15102.08398,1.02257
