DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5
1042.04856,553.55,-155530.90004,1.00212
1042.0186,553.65,-154900.27016,1.0022
1042.12129,553.75,-154250.73251,1.00191
1042.16994,553.85,-153616.76597,1.00176
1042.30923,553.95,-152956.10611,1.00136
1042.15587,554.05,-152282.09957,1.0018
1042.29823,554.15,-151743.22802,1.00139
1042.50777,554.25,-151312.7981,1.00079
1042.38115,554.35,-150862.34819,1.00115
1042.46498,554.46,-150421.90828,1.00091
1042.61129,554.57,-150001.48836,1.00049
1042.59594,554.68,-149591.07844,1.00054
1042.60567,554.79,-149190.67852,1.00051
1042.74396,554.9,-148800.2886,1.00011
1042.87786,555.01,-148409.89868,0.99973
1043.08632,555.12,-148019.50876,0.99913
1043.17069,555.23,-147619.10884,0.99889
1043.01424,555.34,-147208.69892,0.99934
1043.07228,555.45,-146808.299,0.99916
1043.22186,555.55,-146417.90908,0.99873
1043.14703,555.65,-146017.50916,0.99895
1042.88442,555.75,-145637.12923,0.99971
1042.57861,555.85,-145256.74931,1.00059
1042.32713,555.96,-144846.33939,1.00132
1041.91304,556.07,-144425.91948,1.00251
1041.43117,556.18,-144015.50956,1.00392
1041.23106,556.29,-143605.09964,1.00449
1041.21656,556.4,-143184.67972,1.00453
1041.18368,556.51,-142764.25981,1.00463
1040.91585,556.62,-142343.83989,1.0054
1040.77564,556.73,-141923.41998,1.00581
1040.84581,556.84,-141503.00006,1.00561
1040.98674,556.95,-140907.40518,1.0052
1040.97391,557.05,-140061.56035,1.00524
1041.09413,557.15,-139226.28163,1.00489
1041.44402,557.25,-138320.37681,1.00387
1041.32004,557.35,-137477.03448,1.00423
1041.36889,557.45,-136623.32465,1.00409
1041.26598,557.55,-136128.83075,1.00439
1041.32954,557.65,-135237.94092,1.0042
1041.36325,557.75,-134086.79115,1.0041
1041.33533,557.85,-132925.63139,1.00418
1041.23417,557.96,-131929.63658,1.00448
1041.2546,558.07,-131213.92173,1.00442
1041.23121,558.18,-130497.65076,1.00448
1041.10348,558.29,-129841.99589,1.00485
1041.03207,558.4,-129143.79853,1.00506
1040.94215,558.51,-128465.97867,1.00532
1041.21986,558.62,-127428.94287,1.00452
1041.19217,558.73,-126798.313,1.0046
1041.20658,558.84,-126427.94307,1.00455
1041.22883,558.96,-126037.55315,1.00449
1041.21329,559.07,-125647.16323,1.00453
1040.93588,559.18,-125266.7833,1.00533
1040.90431,559.29,-124896.41338,1.00543
1040.91581,559.4,-124516.03345,1.00539
1040.93922,559.52,-124105.62354,1.00532
1040.78079,559.64,-123695.21362,1.00578
1040.5885,559.76,-123274.7937,1.00634
1040.39829,559.88,-122884.40378,1.00689
1040.29338,560.0,-122473.99386,1.00719
1040.24742,560.11,-122073.59394,1.00733
1040.14967,560.22,-121683.20402,1.00761
1040.3305,560.33,-121282.8041,1.00709
1040.29592,560.44,-120882.40418,1.00719
1040.20017,560.55,-120502.02426,1.00747
1039.91622,560.65,-120131.65433,1.0083
1039.92651,560.75,-119751.27441,1.00827
1039.61518,560.85,-119380.90448,1.00918
1039.60585,560.95,-118980.50456,1.00921
1039.61885,561.05,-118610.13464,1.00917
1039.68606,561.15,-118249.77471,1.00898
1039.78026,561.25,-117889.41478,1.00871
1039.70035,561.35,-117509.03486,1.00894
1039.58031,561.45,-117118.64493,1.00929
1039.70328,561.55,-116718.24501,1.00893
1040.00056,561.65,-116307.8351,1.00806
1039.98581,561.75,-115882.41018,1.00811
1040.09518,561.85,-115451.98027,1.00778
1040.42079,561.95,-114991.52036,1.00684
1040.46063,562.05,-114521.05045,1.00672
1040.41038,562.15,-114040.57055,1.00687
1040.50633,562.25,-113550.08065,1.00659
1040.47226,562.35,-112869.40078,1.00669
1040.45858,562.45,-112153.12981,1.00673
1040.31603,562.55,-111420.96996,1.00715
1040.1023,562.65,-110534.08414,1.00776
1040.13588,562.75,-109568.11933,1.00766
1040.10299,562.85,-108607.15952,1.00776
1039.84169,562.95,-107646.19971,1.00852
1039.59799,563.05,-106645.19991,1.00923
1039.39882,563.15,-105634.19012,1.00981
1039.16713,563.25,-104633.19032,1.01048
1039.2427,563.35,-103832.39048,1.01026
1039.20374,563.45,-103057.17174,1.01037
1039.19423,563.55,-102277.8219,1.0104
1039.14552,563.65,-101653.19802,1.01055
1038.94652,563.75,-101122.66813,1.01113
1038.8487,563.85,-100572.11824,1.01142
1038.89406,563.95,-100031.57835,1.01128
1038.84587,564.05,-99531.07845,1.01142
