READ_NUMBER	READ_TIMER	READ_INTERVAL	READ_EXT_TEMP	READ_INT_TEMP	READ_CURRENT	READ_VOLTAGE	READ_HEAT	READ_POWER	READ_ON
74	17351	191	30.1	237.4	0.000400	0.153398	-4.18	0.0001	1
75	17544	193	30.1	237.4	0.001213	0.151505	-4.18	0.0002	1
76	17735	191	30.1	237.3	0.000413	0.153398	-4.18	0.0001	1
77	17927	192	30.1	237.3	0.001200	0.151505	-4.18	0.0002	1
78	18120	193	30.1	237.4	0.000475	0.147717	-4.18	0.0001	1
79	18313	193	30.1	237.4	0.001175	0.155292	-4.18	0.0002	1
80	18504	191	30.1	237.4	0.000500	0.147717	-0.38	0.0001	1
81	18696	192	30.1	237.4	0.001188	0.151505	-0.38	0.0002	1
82	18887	191	30.1	237.3	0.000500	0.143929	-0.38	0.0001	1
83	19079	192	30.1	237.3	0.001175	0.143929	-0.38	0.0002	1
84	19270	191	30.1	237.3	0.000450	0.153398	-0.38	0.0001	1
85	19462	192	30.1	237.3	0.001188	0.145823	-0.38	0.0002	1
86	19653	191	30.1	237.3	0.000450	0.151505	-0.38	0.0001	1
87	19848	195	30.1	237.3	0.000900	0.147717	-0.38	0.0001	1
88	20039	191	30.1	237.3	0.000750	0.145823	-0.38	0.0001	1
89	20231	192	30.1	237.3	0.000938	0.153398	-0.38	0.0001	1
90	20422	191	30.1	237.3	0.000688	0.147717	-3.53	0.0001	1
91	20615	193	30.1	237.3	0.000900	0.145823	-3.53	0.0001	1
92	20806	191	30.1	237.3	0.000688	0.143929	-3.53	0.0001	1
93	20998	192	30.1	237.3	0.000950	0.153398	-3.53	0.0001	1
94	21189	191	30.1	237.3	0.000650	0.143929	-3.53	0.0001	1
95	21384	195	30.1	237.3	0.000538	0.151505	-3.53	0.0001	1
96	21575	191	30.1	237.2	0.001075	0.143929	-3.53	0.0002	1
97	21767	192	30.1	237.3	0.000563	0.149611	-3.53	0.0001	1
98	21958	191	30.1	237.3	0.001025	0.149611	-3.53	0.0002	1
99	22150	192	30.1	237.3	0.000638	0.145823	-3.53	0.0001	1
100	22346	196	30.1	237.3	0.001113	0.147717	0.29	0.0002	1
101	22576	230	30.1	237.3	0.001063	0.155292	0.29	0.0002	1
102	22767	191	30.1	237.3	0.000588	0.145823	0.29	0.0001	1
103	22959	192	30.1	237.3	0.001050	0.149611	0.29	0.0002	1
104	23153	194	30.1	237.3	0.000425	0.151505	0.29	0.0001	1
105	23345	192	30.1	237.3	0.001213	0.149611	0.29	0.0002	1
106	23536	191	30.1	237.3	0.000400	0.143929	0.29	0.0001	1
107	23729	193	30.1	237.3	0.001213	0.151505	0.29	0.0002	1
108	23920	191	30.1	237.3	0.000413	0.155292	0.29	0.0001	1
109	24112	192	30.1	237.2	0.001225	0.151505	0.29	0.0002	1
110	24303	191	30.1	237.2	0.000388	0.149611	-1.72	0.0001	1
111	24495	192	30.1	237.2	0.001213	0.155292	-1.72	0.0002	1
112	24690	195	30.1	237.2	0.000650	0.145823	-1.72	0.0001	1
113	24883	193	30.1	237.2	0.000863	0.155292	-1.72	0.0001	1
114	25076	193	30.1	237.2	0.000975	0.153398	-1.72	0.0001	1
115	25269	193	30.1	237.2	0.000575	0.149611	-1.72	0.0001	1
116	25461	192	30.1	237.2	0.001200	0.159080	-1.72	0.0002	1
117	25654	193	30.1	237.2	0.000425	0.147717	-1.72	0.0001	1
118	25846	192	30.1	237.2	0.001263	0.147717	-1.72	0.0002	1
119	26040	194	30.0	237.2	0.000488	0.153398	-1.72	0.0001	1
120	26232	192	30.0	237.1	0.001088	0.143929	-4.10	0.0002	1
121	26428	196	30.0	237.1	0.001125	0.151505	-4.10	0.0002	1
122	26620	192	30.1	237.2	0.000450	0.149611	-4.10	0.0001	1
123	26813	193	30.1	237.1	0.001250	0.143929	-4.10	0.0002	1
124	27005	192	30.1	237.1	0.000438	0.153398	-4.10	0.0001	1
125	27198	193	30.1	237.2	0.001188	0.145823	-4.10	0.0002	1
126	27392	194	30.1	237.2	0.000588	0.151505	-4.10	0.0001	1
127	27584	192	30.1	237.2	0.000888	0.145823	-4.10	0.0001	1
128	27777	193	30.1	237.1	0.000900	0.145823	-4.10	0.0001	1
129	27972	195	30.1	237.2	0.000425	0.142036	-4.10	0.0001	1
130	28165	193	30.1	237.1	0.001263	0.149611	1.20	0.0002	1
131	28358	193	30.1	237.1	0.000500	0.143929	1.20	0.0001	1
132	28550	192	30.1	237.1	0.001138	0.147717	1.20	0.0002	1
133	28741	191	30.1	237.1	0.000550	0.143929	1.20	0.0001	1
134	28933	192	30.1	237.2	0.001175	0.143929	1.20	0.0002	1
135	29124	191	30.1	237.1	0.000513	0.151505	1.20	0.0001	1
136	29317	193	30.1	237.2	0.001188	0.143929	1.20	0.0002	1
137	29510	193	30.1	237.2	0.000838	0.147717	1.20	0.0001	1
138	29708	198	30.1	237.2	0.000438	0.151505	1.20	0.0001	1
139	29931	223	30.1	237.2	0.001250	0.149611	1.20	0.0002	1
140	30124	193	30.1	237.2	0.000413	0.149611	2.37	0.0001	1
141	30315	191	30.0	237.1	0.001225	0.140142	2.37	0.0002	1
142	30507	192	30.1	237.2	0.000425	0.147717	2.37	0.0001	1
143	30698	191	30.0	237.2	0.001213	0.151505	2.37	0.0002	1
144	30889	191	30.0	237.2	0.000450	0.151505	2.37	0.0001	1
145	31081	192	30.1	237.2	0.001200	0.145823	2.37	0.0002	1
146	31276	195	30.1	237.2	0.000500	0.151505	2.37	0.0001	1
147	31468	192	30.0	237.2	0.001188	0.145823	2.37	0.0002	1
148	31660	192	30.0	237.2	0.000450	0.151505	2.37	0.0001	1
149	31851	191	30.0	237.2	0.001238	0.147717	2.37	0.0002	1
150	32043	192	30.0	237.2	0.000475	0.151505	-0.39	0.0001	1
151	32234	191	30.0	237.2	0.001213	0.147717	-0.39	0.0002	1
152	32427	193	30.1	237.3	0.000475	0.145823	-0.39	0.0001	1
153	32620	193	30.0	237.2	0.001025	0.147717	-0.39	0.0002	1
154	32816	196	30.1	237.3	0.001125	0.149611	-0.39	0.0002	1
155	33008	192	30.0	237.2	0.000463	0.147717	-0.39	0.0001	1
156	33201	193	30.0	237.2	0.001250	0.149611	-0.39	0.0002	1
157	33393	192	30.0	237.2	0.000413	0.149611	-0.39	0.0001	1
158	33586	193	30.0	237.2	0.001113	0.157186	-0.39	0.0002	1
159	33778	192	30.1	237.2	0.000613	0.155292	-0.39	0.0001	1
160	33972	194	30.1	237.2	0.000963	0.149611	1.51	0.0001	1
161	34164	192	30.1	237.3	0.000925	0.149611	1.51	0.0001	1
162	34356	192	30.1	237.2	0.000788	0.142036	1.51	0.0001	1
163	34550	194	30.0	237.2	0.001275	0.147717	1.51	0.0002	1
164	34742	192	30.0	237.2	0.000463	0.147717	1.51	0.0001	1
165	34933	191	30.1	237.2	0.001163	0.138248	1.51	0.0002	1
166	35125	192	30.1	237.2	0.000425	0.147717	1.51	0.0001	1
167	35317	192	30.1	237.2	0.001163	0.145823	1.51	0.0002	1
168	35509	192	30.0	237.1	0.000538	0.147717	1.51	0.0001	1
169	35700	191	30.1	237.2	0.001100	0.153398	1.51	0.0002	1
170	35892	192	30.1	237.1	0.000513	0.153398	-3.74	0.0001	1
171	36086	194	30.0	237.1	0.001200	0.155292	-3.74	0.0002	1
172	36279	193	30.1	237.1	0.000475	0.147717	-3.74	0.0001	1
173	36472	193	30.1	237.2	0.001013	0.143929	-3.74	0.0001	1
174	36665	193	30.1	237.1	0.000725	0.153398	-3.74	0.0001	1
175	36862	197	30.1	237.1	0.000488	0.147717	-3.74	0.0001	1
176	37055	193	30.1	237.2	0.001113	0.147717	-3.74	0.0002	1
177	37248	193	30.0	237.1	0.000688	0.147717	-3.74	0.0001	1
178	37467	219	30.1	237.2	0.001025	0.149611	-3.74	0.0002	1
179	37659	192	30.0	237.1	0.000525	0.149611	-3.74	0.0001	1
180	37855	196	30.0	237.2	0.001188	0.153398	1.76	0.0002	1
181	38047	192	30.0	237.3	0.000563	0.149611	1.76	0.0001	1
182	38240	193	30.0	237.2	0.001038	0.153398	1.76	0.0002	1
183	38431	191	30.1	237.3	0.000600	0.143929	1.76	0.0001	1
184	38623	192	30.0	237.3	0.001075	0.153398	1.76	0.0002	1
185	38814	191	30.0	237.3	0.000563	0.149611	1.76	0.0001	1
186	39006	192	30.1	237.3	0.001100	0.155292	1.76	0.0002	1
187	39197	191	30.1	237.3	0.000513	0.143929	1.76	0.0001	1
188	39392	195	30.0	237.3	0.000688	0.145823	1.76	0.0001	1
189	39583	191	30.0	237.3	0.000963	0.147717	1.76	0.0001	1
190	39775	192	30.0	237.3	0.000713	0.151505	4.96	0.0001	1
191	39967	192	30.0	237.2	0.000963	0.142036	4.96	0.0001	1
192	40159	192	30.1	237.4	0.000750	0.151505	4.96	0.0001	1
193	40350	191	30.0	237.3	0.000900	0.147717	4.96	0.0001	1
194	40542	192	30.0	237.3	0.000775	0.145823	4.96	0.0001	1
195	40733	191	30.1	237.3	0.000913	0.151505	4.96	0.0001	1
196	40925	192	30.0	237.3	0.000788	0.147717	4.96	0.0001	1
197	41119	194	30.1	237.4	0.001163	0.153398	4.96	0.0002	1
198	41311	192	30.0	237.3	0.000475	0.147717	4.96	0.0001	1
199	41502	191	30.0	237.3	0.001200	0.151505	4.96	0.0002	1
200	41694	192	30.0	237.3	0.000475	0.147717	-2.01	0.0001	1
201	41886	192	30.0	237.4	0.001138	0.145823	-2.01	0.0002	1
202	42079	193	30.0	237.3	0.000425	0.149611	-2.01	0.0001	1
203	42271	192	30.0	237.2	0.001238	0.149611	-2.01	0.0002	1
204	42464	193	30.0	237.3	0.000500	0.153398	-2.01	0.0001	1
205	42659	195	30.0	237.3	0.000638	0.155292	-2.01	0.0001	1
206	42852	193	30.0	237.3	0.001113	0.151505	-2.01	0.0002	1
