DISTANCE,TIME,RETRACAO,60ma_S,60ma_T,60ma_t,60ma_R,TEMPERATURE
2450.84,2955804,1.02702,2450.14,338.74833,2070758.28333,1.02796,484.3
2457.69,2985739,1.01846,2449.92883,343.68833,2100758.68333,1.02822,489.4
2450.84,3015827,1.02702,2449.8205,348.63667,2130759.91667,1.02835,494.5
2452.84,3045763,1.02451,2449.601,353.59333,2160760.23333,1.02863,499.5
2457.34,3075748,1.01889,2449.51983,358.54167,2190759.7,1.02873,504.6
2457.69,3105831,1.01846,2449.65567,363.47,2220760.73333,1.02856,509.9
2457.51,3135764,1.01868,2449.6165,368.38667,2250761.51667,1.0286,515.0
2459.68,3165744,1.01599,2449.64967,373.315,2280760.46667,1.02856,520.2
2459.5,3195770,1.01621,2449.68283,378.25333,2310760.85,1.02852,525.3
2453.01,3225746,1.0243,2449.60483,383.19,2340761.2,1.02862,530.5
2452.84,3255822,1.02451,2449.518,388.125,2370762.15,1.02873,535.7
2459.68,3285798,1.01599,2449.58733,393.07167,2400762.88333,1.02864,541.0
2448.85,3315733,1.02953,2449.53667,398.03167,2430763.51667,1.02871,546.2
2451.71,3345816,1.02593,2449.5005,403.01667,2460764.13333,1.02875,551.5
2440.21,3375802,1.0405,2449.24533,408.01833,2490765.68333,1.02907,556.7
2442.87,3405741,1.03711,2449.092,413.00667,2520766.46667,1.02927,561.9
2436.89,3435830,1.04476,2448.95917,418.00667,2550767.25,1.02944,567.2
2405.67,3465755,1.08597,2448.19183,423.00667,2580767.76667,1.03044,572.4
2402.68,3495843,1.09003,2447.5855,428.02,2610768.41667,1.03124,577.7
2393.06,3525822,1.10322,2446.7525,433.02667,2640769.91667,1.03234,583.0
2396.03,3555762,1.09913,2445.88183,438.03333,2670770.48333,1.03349,588.2
2349.69,3585837,1.16545,2444.14533,443.04833,2700771.65,1.03586,593.6
2345.87,3615769,1.17115,2442.6255,448.06833,2730771.85,1.03797,598.9
2346.03,3645758,1.17091,2441.13567,453.09833,2760772.93333,1.04004,604.1
2326.1,3675850,1.20127,2439.01767,458.13667,2790774.03333,1.043,609.4
2324.11,3705782,1.20436,2436.80017,463.18333,2820775.11667,1.04608,614.7
2304.18,3735777,1.23588,2434.649,468.23833,2850776.51667,1.04919,620.0
2296.21,3765822,1.24879,2432.18417,473.31167,2880777.16667,1.05274,625.4
2289.9,3795747,1.25914,2429.56533,478.41333,2910777.46667,1.05653,632.0
2286.25,3825825,1.26518,2427.06033,483.52333,2940777.48333,1.0602,637.4
2284.25,3855810,1.26851,2424.41083,488.62833,2970778.18333,1.06406,641.8
2286.25,3885749,1.26518,2421.6705,493.73167,3000778.2,1.06803,646.8
2286.08,3915841,1.26547,2419.0155,498.84,3030779.25,1.07189,652.1
2290.4,3945764,1.25832,2416.369,503.955,3060779.21667,1.07571,657.4
2282.26,3975751,1.27183,2413.71667,509.08,3090780.01667,1.07959,662.8
2284.25,4005832,1.26851,2411.08267,514.225,3120780.81667,1.08343,668.2
2286.25,4035771,1.26518,2408.45183,519.365,3150780.96667,1.08726,673.5
2286.25,4065853,1.26518,2405.78467,524.50833,3180783.63333,1.09113,678.9
2288.24,4095841,1.26189,2403.187,529.65833,3210784.63333,1.09491,684.4
2282.26,4125772,1.27183,2400.49567,534.80833,3240784.73333,1.09884,689.4
2288.24,4155853,1.26189,2397.8285,539.96167,3270785.61667,1.1027,694.7
2288.24,4185788,1.26189,2395.13117,545.12,3300785.53333,1.1066,700.0
2290.4,4215777,1.25832,2392.503,550.28167,3330786.2,1.11039,705.2
2288.07,4245818,1.26217,2389.9055,555.445,3360786.21667,1.11417,710.3
2285.74,4275799,1.26603,2387.19367,560.61333,3390787.05,1.1181,715.6
2288.24,4305841,1.26189,2384.5265,565.78667,3420788.85,1.12196,720.8
2286.25,4335821,1.26518,2381.85933,570.96167,3450788.9,1.12583,726.0
2288.07,4365802,1.26217,2379.2225,576.14333,3480789.75,1.12966,731.3
2288.07,4395847,1.26217,2376.5555,581.32833,3510791.53333,1.13352,736.5
2279.6,4425842,1.27629,2373.75633,586.53833,3540792.6,1.1376,741.9
2288.24,4455777,1.26189,2371.03767,591.785,3570792.85,1.14153,747.1
2290.23,4485870,1.2586,2368.36083,597.01833,3600794.08333,1.14539,752.3
2294.22,4515808,1.25204,2365.60617,602.24667,3630794.53333,1.14932,757.6
2290.23,4545853,1.2586,2362.85133,607.47667,3660796.13333,1.15328,762.9
2290.23,4575845,1.2586,2360.12383,612.70833,3690796.95,1.1572,768.2
2290.23,4605784,1.2586,2357.369,617.94333,3720796.91667,1.16116,773.4
2277.28,4635867,1.28019,2354.537,623.18333,3750799.33333,1.1653,778.7
2294.22,4665806,1.25204,2351.92383,628.42667,3780799.26667,1.16905,784.0
2290.23,4695798,1.2586,2349.13283,633.67667,3810800.33333,1.17306,789.3
2267.16,4725836,1.29741,2345.92417,638.93,3840800.71667,1.17775,794.5
2282.09,4755822,1.27212,2343.11167,644.18833,3870801.01667,1.18183,799.8
2278.96,4785865,1.27736,2340.13283,649.45333,3900803.11667,1.18615,805.3
2288.24,4815853,1.26189,2337.42283,654.72167,3930803.55,1.19006,810.6
2268.99,4845779,1.29428,2334.35867,659.99833,3960803.81667,1.19456,816.1
2275.45,4875868,1.28328,2331.32717,665.28333,3990805.81667,1.19896,821.7
2280.96,4905802,1.27401,2328.38167,670.56833,4020805.33333,1.20322,827.0
2272.98,4935794,1.28747,2325.30617,675.85667,4050805.83333,1.2077,832.3
2271.14,4965832,1.2906,2322.16383,681.15,4080807.3,1.21228,837.8
2275.45,4995812,1.28328,2319.09633,686.45333,4110808.0,1.21673,843.5
2274.97,5025905,1.2841,2316.129,691.76167,4140810.65,1.22106,849.0
2277.13,5055834,1.28045,2313.2005,697.075,4170810.85,1.22533,854.5
2270.99,5085809,1.29086,2310.05567,702.38833,4200811.03333,1.22991,859.8
2276.97,5115883,1.28072,2307.191,707.70833,4230813.53333,1.23409,865.4
