DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5,DISTANCE_MA1,TEMPERATURE_MA1,TIME_MA1,RETRACAO_MA1,DISTANCE_MA3,TEMPERATURE_MA3,TIME_MA3,RETRACAO_MA3
1042.04856,553.55,-155530.90004,1.00212,1041.5585416666659,554.0,-152443.92787500002,1.0035166666666673,1042.0159,553.9,-152977.79444,1.00221
1042.0186,553.65,-154900.27016,1.0022,1042.9204166666666,554.1,-151843.32799500006,0.9995891666666666,1042.00715,554.0,-152410.56122,1.00223
1042.12129,553.75,-154250.73251,1.00191,1043.1186111111108,554.2,-151342.82809500006,0.9990094444444444,1042.53252,554.1,-151876.69466,1.00071
1042.16994,553.85,-153616.76597,1.00176,1042.6808333333333,554.3,-150942.428175,1.000271666666667,1042.90662,554.2,-151376.19476,0.99962
1042.30923,553.95,-152956.10611,1.00136,1042.767222222222,554.4,-150542.02825500007,1.0000305555555555,1042.85556,554.3,-150942.42818,0.99977
1042.15587,554.05,-152282.09957,1.0018,1040.5400000000004,554.5,-150141.628335,1.006476666666667,1041.99602,554.4,-150542.02826,1.00226
1042.29823,554.15,-151743.22802,1.00139,1043.61875,554.6,-149841.32839500002,0.9975995833333332,1042.30866,554.5,-150174.995,1.00137
1042.50777,554.25,-151312.7981,1.00079,1043.384166666667,554.7,-149541.028455,0.9982633333333336,1042.51431,554.6,-149841.3284,1.00078
1042.38115,554.35,-150862.34819,1.00115,1041.6804166666664,554.8,-149040.528555,1.0032072916666672,1042.89444,554.7,-149474.29514,0.99969
1042.46498,554.46,-150421.90828,1.00091,1042.3808333333334,555.0,-148540.028655,1.0011741666666667,1042.48181,554.83333,-149040.52856,1.00088
1042.61129,554.57,-150001.48836,1.00049,1043.0216666666663,555.1,-148239.728715,0.9993045833333329,1042.36097,554.96667,-148606.76198,1.00123
1042.59594,554.68,-149591.07844,1.00054,1042.7669444444446,555.2,-147739.22881500007,1.0000261111111113,1042.72315,555.1,-148172.9954,1.00017
1042.60567,554.79,-149190.67852,1.00051,1043.2158333333336,555.3,-147338.82889500007,0.9987458333333332,1043.00148,555.2,-147772.59548,0.99936
1042.74396,554.9,-148800.2886,1.00011,1044.06375,555.4,-147038.528955,0.9963099999999998,1043.34884,555.3,-147372.19556,0.99836
1042.87786,555.01,-148409.89868,0.99973,1044.1062499999996,555.5,-146638.129035,0.9961891666666666,1043.79528,555.4,-147005.1623,0.99708
1043.08632,555.12,-148019.50876,0.99913,1042.6245833333332,555.6,-146237.72911500002,1.0004683333333333,1043.59819,555.5,-146638.12904,0.99766
1043.17069,555.23,-147619.10884,0.99889,1044.4624999999996,555.7,-145837.329195,0.9951766666666666,1043.73111,555.6,-146237.72912,0.99728
1043.01424,555.34,-147208.69892,0.99934,1041.8195833333332,555.8,-145436.929275,1.002770833333333,1042.96889,555.7,-145837.3292,0.99947
1043.07228,555.45,-146808.299,0.99916,1042.260833333333,555.9,-145036.529355,1.0014841666666665,1042.84764,555.8,-145436.92928,0.99981
1043.22186,555.55,-146417.90908,0.99873,1043.8766666666666,556.0,-144636.12943500007,0.9968520833333332,1042.65236,555.9,-145036.52936,1.00037
1043.14703,555.65,-146017.50916,0.99895,1042.273333333333,556.1,-144235.729515,1.00147875,1042.80361,556.0,-144636.12944,0.99994
1042.88442,555.75,-145637.12923,0.99971,1040.1408333333334,556.2,-143935.429575,1.0076133333333332,1042.09694,556.1,-144269.09618,1.00198
1042.57861,555.85,-145256.74931,1.00059,1040.1577777777775,556.3,-143535.029655,1.0075927777777778,1040.85731,556.2,-143902.06292,1.00556
1042.32713,555.96,-144846.33939,1.00132,1041.5488888888897,556.5,-142934.429775,1.0035511111111115,1040.61583,556.33333,-143468.29634,1.00625
1041.91304,556.07,-144425.91948,1.00251,1039.9654166666667,556.6,-142433.92987500006,1.0081533333333337,1040.55736,556.46667,-142967.79644,1.00643
1041.43117,556.18,-144015.50956,1.00392,1037.8058333333333,556.7,-142133.62993500006,1.01449,1039.77338,556.6,-142500.6632,1.00873
1041.23106,556.29,-143605.09964,1.00449,1042.4613888888887,556.8,-141733.23001499998,1.0009200000000005,1040.07755,556.7,-142100.26328,1.00785
1041.21656,556.4,-143184.67972,1.00453,1041.6745833333332,556.9,-141232.730115,1.0032016666666668,1040.64727,556.8,-141699.86336,1.0062
1041.18368,556.51,-142764.25981,1.00463,1041.932083333333,557.0,-140832.33019500002,1.0024520833333337,1042.02269,556.9,-141266.09678,1.00219
