DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5,DISTANCE_MA1,TEMPERATURE_MA1,TIME_MA1,RETRACAO_MA1,DISTANCE_MA3,TEMPERATURE_MA3,TIME_MA3,RETRACAO_MA3
990.79133,572.95,-315632.75444,0.99165,991.259583333333,573.4,-313254.5457450001,0.990259166666667,990.98306,573.3,-313721.67899,0.99108
990.74607,573.05,-315074.69705,0.99179,990.2886111111106,573.5,-312503.79589500005,0.9931608333333334,990.82481,573.4,-313154.44577,0.99156
990.72903,573.15,-314524.14716,0.99184,990.5083333333333,573.6,-312103.39597500005,0.9924933333333332,990.68551,573.5,-312620.57921,0.99197
990.74532,573.25,-313983.60727,0.99179,990.6758333333332,573.7,-311602.896075,0.9920012500000004,990.49093,573.6,-312070.02932,0.99255
990.78651,573.35,-313453.07737,0.99167,991.3402777777776,573.8,-310902.1962150001,0.9899988888888888,990.84148,573.7,-311536.16276,0.9915
990.81943,573.45,-312879.17082,0.99157,990.9516666666664,573.9,-310301.5963350001,0.9911633333333332,990.98926,573.8,-310935.56288,0.99105
990.68676,573.55,-312318.61093,0.99197,990.0141666666664,574.0,-309801.09643500013,0.99398,990.7687,573.9,-310334.963,0.99171
990.76833,573.65,-311768.06104,0.99172,990.9552777777776,574.1,-309300.59653500014,0.9911563888888888,990.64037,574.0,-309801.09644,0.9921
990.81506,573.75,-311217.51115,0.99158,991.2305555555556,574.2,-308699.996655,0.9903280555555556,990.73333,574.1,-309267.22988,0.99182
990.70151,573.85,-310656.95126,0.99192,989.7908333333332,574.3,-308099.39677500003,0.9946541666666666,990.65889,574.2,-308699.99666,0.99205
990.52681,573.95,-310101.39638,0.99244,989.5125000000003,574.4,-307698.99685500003,0.9954933333333332,990.17796,574.3,-308166.1301,0.99349
990.57106,574.05,-309580.87648,0.99231,990.7311111111106,574.5,-307298.59693500004,0.9918222222222224,990.01148,574.4,-307698.99686,0.99399
990.57158,574.15,-309025.32159,0.99231,990.5135416666667,574.6,-306547.847085,0.9924808333333336,990.25238,574.5,-307181.81363,0.99327
990.48003,574.25,-308474.7717,0.99258,989.7604166666664,574.7,-306097.397175,0.9947558333333334,990.33502,574.6,-306647.94707,0.99302
990.46898,574.35,-307934.23181,0.99262,991.229722222222,574.8,-305496.79729500005,0.9903263888888888,990.50123,574.7,-306047.34719,0.99252
990.49542,574.45,-307378.67692,0.99254,991.2160416666665,574.9,-304746.04744500003,0.9903712500000004,990.73539,574.8,-305446.74731,0.99182
990.57833,574.55,-306828.12703,0.99229,990.8433333333335,575.0,-304295.597535,0.9914883333333336,991.09637,574.9,-304846.14743,0.99073
990.58356,574.65,-306267.56714,0.99227,991.0074999999997,575.1,-303694.997655,0.9909958333333332,991.02229,575.0,-304245.54755,0.99095
990.46142,574.75,-305747.04725,0.99264,990.0091666666664,575.2,-303494.79769499996,0.9939929166666668,990.62,575.1,-303828.4643,0.99216
990.46685,574.85,-305206.50735,0.99262,989.8451666666666,575.3,-302693.99785500014,0.9944878333333341,990.28728,575.2,-303294.59774,0.99316
990.51652,574.95,-304635.93747,0.99247,990.0091666666664,575.4,-301993.29799500003,0.9939950000000001,989.9545,575.3,-302727.36452,0.99416
990.51624,575.05,-304055.35758,0.99247,990.728333333333,575.5,-301492.79809500003,0.9918416666666668,990.19422,575.4,-302060.03132,0.99344
990.58247,575.15,-303499.80269,0.99227,991.1758333333332,575.6,-300992.29819500004,0.9904825,990.63778,575.5,-301492.7981,0.99211
990.66857,575.25,-302939.24281,0.99201,990.6213888888884,575.7,-300491.79829500004,0.9921513888888888,990.84185,575.6,-300992.2982,0.99149
990.70513,575.35,-302368.67292,0.99191,991.5954166666666,575.8,-299791.098435,0.98924875,991.13088,575.7,-300425.06498,0.99063
990.68738,575.45,-301819.79136,0.99196,991.0384722222217,575.9,-299257.2318750001,0.9909069444444446,991.08509,575.8,-299846.70954,0.99077
990.712,575.55,-301229.20148,0.99189,991.0895833333334,576.0,-298389.6987150001,0.9907516666666666,991.24116,575.9,-299146.00968,0.9903
990.69545,575.65,-300648.6216,0.99194,990.8419444444446,576.1,-297889.198815,0.9914938888888892,990.99,576.0,-298512.04314,0.99105
990.83691,575.75,-300038.01172,0.99151,991.4237499999997,576.2,-297388.698915,0.9897408333333332,991.11843,576.1,-297889.19882,0.99066
990.86994,575.85,-299457.43184,0.99141,990.1755555555553,576.3,-296888.199015,0.9934958333333336,990.81375,576.2,-297388.69892,0.99158
990.90774,575.95,-298876.85195,0.9913,990.3870833333333,576.4,-296187.499155,0.9928581250000006,990.66213,576.3,-296821.4657,0.99203
990.95265,576.05,-298296.27207,0.99116,991.1775,576.5,-295686.99925500003,0.9904775,990.58005,576.4,-296254.23248,0.99228
990.9139,576.15,-297725.70218,0.99128,990.7883333333333,576.6,-295286.59933500004,0.9916588888888888,990.78431,576.5,-295720.36592,0.99166
990.95818,576.25,-297145.1223,0.99115,991.0641666666666,576.7,-294685.99945500004,0.9908244444444444,991.01,576.6,-295219.86602,0.99099
990.88716,576.35,-296564.54241,0.99136,990.8852083333333,576.8,-293985.299595,0.9913658333333336,990.91257,576.7,-294652.6328,0.99128
990.8844,576.45,-295987.29919,0.99137,991.0108333333334,576.9,-293484.79969500005,0.9909858333333332,990.98674,576.8,-294052.03292,0.99106
990.80544,576.55,-295446.7593,0.9916,990.2999999999997,577.0,-292984.299795,0.9931225000000002,990.73201,576.9,-293484.7997,0.99182
990.80608,576.65,-294906.21941,0.9916,990.8483333333335,577.1,-292483.799895,0.9914691666666666,990.71972,577.0,-292984.29979,0.99186
990.66478,576.75,-294355.66952,0.99203,990.0108333333333,577.2,-291883.2000150001,0.993995833333334,990.38639,577.1,-292450.43323,0.99286
990.73119,576.85,-293775.08964,0.99183,990.8395833333334,577.3,-291082.400175,0.9914933333333336,990.56625,577.2,-291816.4667,0.99232
990.72095,576.95,-293231.21308,0.99186,990.2847222222223,577.4,-290748.733575,0.9931641666666666,990.37838,577.3,-291238.11126,0.99288
990.60398,577.05,-292670.65319,0.99221,990.0077777777775,577.5,-290081.400375,0.9939963888888892,990.37736,577.4,-290637.51138,0.99288
990.50915,577.15,-292090.07331,0.99249,989.8399999999997,577.6,-289480.80049500003,0.9945025,990.04417,577.5,-290103.64482,0.99389
990.45381,577.25,-291509.49342,0.99266,990.5108333333333,577.7,-288880.20061500004,0.9924872222222224,990.11954,577.6,-289480.8005,0.99366
990.37856,577.35,-290923.90854,0.99288,990.1327083333333,577.8,-288129.450765,0.9936275000000006,990.16118,577.7,-288830.15062,0.99354
990.31181,577.45,-290329.98199,0.99309,990.3433333333332,577.9,-287545.534215,0.9929938888888892,990.32896,577.8,-288185.06186,0.99304
990.27195,577.55,-289712.69878,0.9932,989.9013888888885,578.0,-286811.4676950001,0.9943183333333336,990.12581,577.9,-287495.48423,0.99365
990.12128,577.65,-289132.1189,0.99366,989.3416666666667,578.1,-286678.0010550001,0.9960100000000001,989.86213,578.0,-287011.66766,0.99444
990.15105,577.75,-288531.51902,0.99357,990.3084999999996,578.2,-285877.2012150001,0.9930920000000011,989.85052,578.1,-286455.55666,0.99447
990.05168,577.85,-287950.93913,0.99387,989.8458333333334,578.3,-285276.601335,0.9944933333333332,989.832,578.2,-285943.93454,0.99453
990.00743,577.95,-287353.67592,0.994,989.8422916666664,578.4,-284776.101435,0.994497708333334,989.99887,578.3,-285309.968,0.99403
990.06578,578.05,-286763.08604,0.99383,990.59125,578.5,-284175.50155500014,0.99224875,990.09312,578.4,-284742.73478,0.99375
990.04072,578.15,-286172.49616,0.9939,989.589375,578.6,-283574.90167500003,0.9952710416666668,990.00764,578.5,-284175.50156,0.99401
990.02352,578.25,-285571.89628,0.99396,990.3388888888887,578.7,-282874.20181500004,0.9930044444444446,990.17317,578.6,-283541.53502,0.99351
990.05263,578.35,-284996.32139,0.99387,990.42375,578.8,-282373.70191500004,0.9927554166666664,990.11734,578.7,-282940.93514,0.99368
990.03617,578.45,-284429.08817,0.99392,990.17875,578.9,-281873.20201500005,0.9935029166666663,990.3138,578.8,-282373.70192,0.99309
990.0472,578.55,-283879.20561,0.99389,990.0116666666664,579.0,-281312.64212699997,0.9940125000000002,990.20472,578.9,-281853.18202,0.99342
990.25122,578.66,-283248.57574,0.99328,991.381875,579.2,-280371.7023150001,0.9898837500000004,990.5241,579.03333,-281185.84882,0.99247
990.22114,578.77,-282617.94587,0.99337,990.0077083333334,579.3,-279570.9024750001,0.9940066666666668,990.46708,579.16667,-280418.41564,0.99263
990.15824,578.88,-281967.296,0.99356,989.2168749999997,579.4,-278770.102635,0.9963864583333334,990.20215,579.3,-279570.90248,0.99343
990.1411,578.99,-281316.64613,0.99361,989.6708333333336,579.5,-278269.60273499996,0.9950225,989.63181,579.4,-278870.20262,0.99514
990.08607,579.1,-280665.99626,0.99378,990.041,579.6,-277669.002855,0.9939086666666672,989.6429,579.5,-278236.23607,0.99511
990.07816,579.21,-279995.32639,0.9938,989.5102777777776,579.7,-276868.20301500004,0.9955,989.7407,579.6,-277602.26954,0.99481
990.12015,579.32,-279344.67652,0.99367,990.7587499999997,579.8,-276367.70311500004,0.9917483333333332,990.10334,579.7,-276968.303,0.99372
990.08686,579.43,-278704.03665,0.99377,990.0908333333333,579.9,-275967.303195,0.9937604166666668,990.11995,579.8,-276401.06978,0.99367
990.08118,579.54,-278063.39678,0.99379,990.1219444444445,580.0,-275466.803295,0.9936663888888893,990.32384,579.9,-275933.93653,0.99306
990.0188,579.65,-277408.74291,0.99398,989.3879166666665,580.1,-274766.1034350001,0.9958827083333336,989.8669,580.0,-275400.06998,0.99444
989.97053,579.75,-276771.4397,0.99412,990.8991666666664,580.2,-273998.670255,0.9913319444444446,990.13634,580.1,-274743.85899,0.99363
989.99823,579.85,-276167.50316,0.99404,990.284722222222,580.3,-273531.537015,0.9931780555555556,990.1906,580.2,-274098.77024,0.99346
990.16071,579.95,-275586.92327,0.99355,990.8416666666664,580.4,-272964.30379499996,0.9914975,990.67519,580.3,-273498.17036,0.992
990.2115,580.05,-275016.35339,0.9934,990.17875,580.5,-272563.903875,0.993482083333333,990.43505,580.4,-273019.9149,0.99272
990.15505,580.15,-274435.7735,0.99356,989.4764999999996,580.6,-271863.204015,0.9955996666666672,990.16564,580.5,-272463.8039,0.99353
990.19952,580.25,-273855.19362,0.99343,989.955,580.7,-271062.4041750001,0.9941630555555556,989.87008,580.6,-271829.83736,0.99441
990.15723,580.35,-273274.61373,0.99356,990.3358333333333,580.8,-270561.90427500004,0.99300875,989.92244,580.7,-271162.50416,0.99426
990.13832,580.45,-272684.02385,0.99361,989.9016666666664,580.9,-270061.40437500004,0.9943300000000004,990.06417,580.8,-270561.90428,0.99383
990.01896,580.55,-272093.43397,0.99397,988.9283333333334,581.0,-269560.904475,0.9972583333333334,989.72194,580.9,-270061.40438,0.99487
990.03127,580.65,-271522.86408,0.99394,989.511111111111,581.1,-269060.404575,0.9955169444444444,989.44704,581.0,-269560.90448,0.9957
989.91788,580.75,-270958.96753,0.99428,989.7652083333332,581.2,-268359.704715,0.994739375,989.40155,581.1,-268993.67126,0.99584
989.99928,580.85,-270381.72431,0.99403,991.09875,581.3,-267759.104835,0.9907345833333332,990.12502,581.2,-268393.07138,0.99366
989.86064,580.95,-269804.48109,0.99445,989.4552777777776,581.4,-267191.871615,0.9956997222222222,990.10641,581.3,-267770.22705,0.99372
989.81868,581.05,-269233.91121,0.99458,989.7591666666666,581.5,-266858.205015,0.99475125,990.1044,581.4,-267269.72715,0.99373
989.84428,581.15,-268666.67799,0.9945,989.7324999999997,581.6,-266190.871815,0.9948444444444444,989.64898,581.5,-266746.98281,0.9951
989.79562,581.25,-268111.1231,0.99465,989.4683333333328,581.7,-265506.855285,0.9956279166666668,989.65333,581.6,-266185.3107,0.99507
989.79087,581.35,-267553.89988,0.99467,990.2883333333333,581.8,-264989.67205500003,0.9931616666666666,989.82972,581.7,-265562.46638,0.99454
989.72741,581.45,-266983.32999,0.99486,989.2670833333333,581.9,-264355.70551500004,0.9962525,989.67458,581.8,-264950.74428,0.99501
989.75794,581.55,-266412.7601,0.99477,989.2336111111107,582.0,-263855.20561500004,0.9963411111111112,989.59634,581.9,-264400.19439,0.99525
989.77972,581.65,-265832.18022,0.9947,989.7288888888887,582.1,-263254.605735,0.9948400000000004,989.40986,582.0,-263821.83896,0.99581
989.76274,581.75,-265271.62033,0.99475,989.5954166666667,582.2,-262754.105835,0.9952404166666668,989.51931,582.1,-263287.9724,0.99547
989.59292,581.85,-264721.07044,0.99526,989.4005555555552,582.3,-262253.605935,0.9958277777777782,989.57495,582.2,-262754.10584,0.9953
989.68168,581.95,-264177.19388,0.99499,990.3429166666666,582.4,-261753.10603500003,0.9929958333333334,989.77963,582.3,-262253.60593,0.99469
989.68631,582.05,-263606.624,0.99497,989.8054166666662,582.5,-261152.506155,0.9946135416666668,989.84963,582.4,-261719.73937,0.99448
989.64351,582.15,-263022.70745,0.9951,989.3045833333333,582.6,-260351.70631500005,0.996124375,989.81764,582.5,-261085.77284,0.99458
989.55951,582.25,-262437.12257,0.99536,988.6283333333333,582.7,-259651.006455,0.9981638888888891,989.24611,582.6,-260385.07298,0.9963
989.40979,582.35,-261836.52269,0.99581,988.791111111111,582.8,-258983.67325500003,0.9976741666666668,988.90801,582.7,-259662.12867,0.99732
989.38444,582.45,-261252.60614,0.99588,989.013611111111,582.9,-258516.540015,0.9970038888888891,988.81102,582.8,-259050.40657,0.99761
989.32096,582.55,-260662.01625,0.99607,988.5987499999997,583.0,-257949.30679499998,0.9982658333333332,988.80116,582.9,-258483.17335,0.99765
989.22372,582.65,-260071.42637,0.99637,988.7564583333333,583.1,-257348.70691500002,0.9977843750000002,988.78961,583.0,-257938.18457,0.99768
989.14892,582.75,-259480.83649,0.9966,988.8475000000003,583.2,-256848.207015,0.9975091666666668,988.73424,583.1,-257382.07357,0.99785
989.0712,582.85,-258900.25661,0.99683,988.6233333333333,583.3,-256447.80709500003,0.9981844444444448,988.74243,583.2,-256881.57367,0.99783
989.01691,582.95,-258299.65673,0.997,989.8,583.4,-255747.107235,0.9946347916666668,989.09028,583.3,-256347.70711,0.99678
989.0162,583.05,-257679.03685,0.997,989.7983333333333,583.5,-254946.30739499998,0.9946491666666674,989.40722,583.4,-255713.74057,0.99582
988.92033,583.15,-257088.44697,0.99729,988.3458333333334,583.6,-254445.807495,0.9990341666666668,989.31472,583.5,-255046.40737,0.99611
988.95487,583.25,-256517.87708,0.99719,988.9737499999997,583.7,-253945.307595,0.9971252083333334,989.03931,583.6,-254445.80749,0.99694
989.02755,583.35,-255953.98053,0.99697,989.5179166666667,583.8,-253344.70771500003,0.9954895833333334,988.94583,583.7,-253911.94093,0.99722
988.98883,583.45,-255386.74731,0.99709,988.6263888888884,583.9,-252844.207815,0.9981780555555556,989.03935,583.8,-253378.07437,0.99693
988.98083,583.55,-254806.16742,0.99711,988.5187499999997,584.0,-252143.507955,0.9984995833333334,988.88769,583.9,-252777.47449,0.99739
988.89001,583.65,-254235.59754,0.99738,987.8483333333335,584.1,-251643.008055,1.0005316666666666,988.33116,584.0,-252210.24127,0.99907
988.86551,583.75,-253665.02765,0.99746,988.6024999999997,584.2,-251142.50815500005,0.99824,988.32319,584.1,-251643.00805,0.99909
988.9436,583.85,-253064.42777,0.99722,989.4041666666659,584.3,-250441.808295,0.9958183333333332,988.61833,584.2,-251075.77483,0.9982
988.81462,583.95,-252473.83789,0.99761,988.5102777777776,584.4,-249841.20841500003,0.9985222222222224,988.83898,584.3,-250475.17495,0.99753
988.71129,584.05,-251913.278,0.99792,988.765,584.5,-249340.70851500003,0.9977483333333332,988.89315,584.4,-249874.57507,0.99736
988.76987,584.15,-251362.72811,0.99774,988.9316666666667,584.6,-248940.308595,0.9972525,988.73565,584.5,-249374.07517,0.99784
988.66864,584.25,-250812.17822,0.99805,987.9613888888885,584.7,-248439.80869499999,1.0001911111111113,988.55269,584.6,-248906.94193,0.9984
988.55181,584.35,-250271.63833,0.9984,988.3495833333336,584.8,-247939.30879500005,0.9990174999999999,988.41421,584.7,-248439.80869,0.99882
988.54058,584.45,-249721.08844,0.99843,988.5141666666664,584.9,-247338.708915,0.9985143749999996,988.27505,584.8,-247905.94213,0.99924
988.60146,584.55,-249170.53855,0.99825,989.1274999999997,585.0,-246638.00905500003,0.9966594444444444,988.66375,584.9,-247305.34225,0.99806
988.718,584.65,-248609.97866,0.9979,989.01375,585.1,-246037.409175,0.9970229166666664,988.88514,585.0,-246671.37571,0.9974
988.74283,584.75,-248079.44877,0.99782,988.8508333333333,585.2,-245837.209215,0.9974908333333334,988.99736,585.1,-246170.87581,0.99706
988.69583,584.85,-247568.93887,0.99797,988.9341666666666,585.3,-245336.709315,0.9972554166666664,988.93292,585.2,-245737.10923,0.99726
988.77926,584.95,-247058.42897,0.99772,989.3445833333333,585.4,-244736.109435,0.9960104166666676,989.04319,585.3,-245303.34265,0.99692
988.78345,585.05,-246517.88908,0.9977,988.8068749999994,585.5,-243935.30959500003,0.997631041666667,989.02854,585.4,-244669.37611,0.99697
988.67578,585.15,-245967.33919,0.99803,987.855,585.6,-243434.809695,1.0005241666666669,988.66882,585.5,-244035.40957,0.99806
988.84354,585.25,-245416.7893,0.99752,989.638958333333,585.7,-242934.30979499998,0.995118125,988.76694,585.6,-243434.80969,0.99776
988.97092,585.35,-244846.21941,0.99714,989.6233333333333,585.8,-242233.609935,0.9951733333333332,989.0391,585.7,-242867.57647,0.99694
989.03758,585.45,-244285.65953,0.99694,989.1808333333332,585.9,-241733.110035,0.9964945833333334,989.48104,585.8,-242300.34325,0.9956
989.02647,585.55,-243745.11963,0.99697,989.0163888888885,586.0,-241232.61013500005,0.996995555555556,989.27352,585.9,-241733.11003,0.99622
988.9181,585.65,-243194.56974,0.9973,987.93,586.1,-240531.91027500003,1.0002979166666666,988.70907,586.0,-241165.87681,0.99793
989.01718,585.75,-242613.98986,0.997,989.8416666666667,586.2,-240031.41037500012,0.9945016666666668,988.92935,586.1,-240598.64359,0.99727
988.95851,585.85,-242053.42997,0.99718,988.3475,586.3,-239731.11043499998,0.9990320833333334,988.70639,586.2,-240098.14369,0.99794
