Size,Temperature
1.000,53.300
1.000,60.300
1.000,62.900
1.000,65.300
1.000,68.000
1.000,70.600
1.000,73.400
1.000,76.200
1.000,79.600
1.000,83.800
1.000,87.600
1.000,91.500
1.000,95.300
1.000,99.000
1.000,102.900
1.000,106.700
1.000,116.400
1.000,119.100
1.000,121.900
1.000,125.600
1.000,128.700
1.000,132.400
1.000,136.700
1.000,140.700
1.000,145.600
1.000,149.300
1.000,153.400
1.000,158.400
1.000,162.500
1.000,166.400
1.000,170.700
1.000,174.300
1.000,179.900
1.000,183.700
1.000,188.000
1.000,193.000
1.000,197.600
1.000,202.100
1.000,207.700
1.000,214.200
1.000,220.000
1.000,224.500
1.000,229.000
1.000,234.300
1.000,239.600
1.000,244.200
1.000,248.600
1.000,252.400
1.000,256.600
1.000,262.600
1.000,272.400
1.000,276.900
1.000,282.600
1.000,287.800
1.000,292.700
1.000,297.700
1.000,302.300
1.000,307.100
1.000,311.900
1.000,316.700
1.000,321.000
1.000,325.900
1.000,330.800
1.000,335.500
1.000,340.600
1.000,345.600
1.000,350.500
1.000,355.300
1.000,359.500
1.000,365.100
1.000,370.300
1.000,375.400
1.000,380.400
1.000,385.500
1.000,395.500
1.000,400.500
1.000,405.500
1.000,410.400
1.000,415.500
1.000,420.400
1.000,425.400
1.000,429.300
1.000,432.300
1.000,438.300
1.000,443.900
1.000,449.100
1.000,454.300
1.000,464.300
1.000,469.400
1.000,474.300
1.000,479.300
1.000,484.300
1.000,489.400
1.000,494.500
1.000,499.500
1.000,504.600
1.000,509.900
1.000,515.000
1.000,520.200
1.000,525.300
1.000,530.500
0.999,535.700
0.998,541.000
0.996,546.200
0.993,551.500
0.990,556.700
0.985,561.900
0.980,567.200
0.975,572.400
0.968,577.700
0.962,583.000
0.956,588.200
0.949,593.600
0.942,598.900
0.936,604.100
0.929,609.400
0.924,614.700
0.918,620.000
0.914,625.400
0.910,632.000
0.907,637.400
0.904,641.800
0.903,646.800
0.902,652.100
0.902,657.400
0.902,662.800
0.902,668.200
0.902,673.500
0.902,678.900
0.902,684.400
0.902,689.400
0.902,694.700
0.902,700.000
0.902,705.200
0.902,710.300
0.902,715.600
0.902,720.800
0.902,726.000
0.902,731.300
0.902,736.500
0.902,741.900
0.902,747.100
0.902,752.300
0.902,757.600
0.902,762.900
0.902,768.200
0.902,773.400
0.902,778.700
0.902,784.000
0.902,789.300
0.902,794.500
0.902,799.800
0.902,805.300
0.902,810.600
0.902,816.100
0.902,821.700
0.902,827.000
0.902,832.300
0.902,837.800
0.902,843.500
0.902,849.000
0.902,854.500
0.902,859.800
0.902,865.400
0.902,870.800
0.902,876.200
0.902,882.100
0.902,888.000
0.902,894.000
0.902,899.500
0.902,905.000
0.902,910.300
0.902,915.700
0.902,920.800
0.902,926.600
0.902,932.300
0.902,938.300
0.902,944.000
0.902,949.200
0.902,953.200
0.902,956.900
0.902,959.800
0.902,962.300
0.902,963.900
0.902,965.800
0.902,966.800
0.902,968.300
0.902,969.200
0.902,970.400
0.902,971.100
0.902,971.900
0.902,972.600
0.902,973.300
0.902,973.900
0.902,974.400
0.902,974.800
