Size,Time,RetracaoCubica,60ma_S,60ma_T,60ma_t,60ma_R,Temperature
2765.28,2850,0.97036,2757.25967,361.33167,1965.0,0.97964,509.1
2769.16,2880,0.9662799999999999,2757.67,366.285,1995.0,0.9792,514.3
2765.04,2910,0.9706100000000001,2757.99717,371.24833,2025.0,0.97885,519.5
2767.16,2940,0.9683799999999999,2758.33317,376.22167,2055.0,0.9785,524.7
2781.27,2970,0.9537100000000001,2758.735,381.205,2085.0,0.97808,530.0
2762.99,3000,0.97277,2758.8645,386.19667,2115.0,0.97794,535.2
2762.99,3030,0.97277,2759.76233,391.19667,2145.0,0.97695,540.5
2767.16,3060,0.9683799999999999,2759.75267,396.205,2175.0,0.97696,545.8
2761.05,3090,0.97482,2759.778,401.22,2205.0,0.97694,551.1
2771.15,3120,0.9642,2759.87383,406.24333,2235.0,0.97683,556.5
2753.28,3150,0.9831,2759.87667,411.275,2265.0,0.97683,561.9
2751.16,3180,0.9853700000000001,2759.5005,416.315,2295.0,0.97723,567.2
2761.16,3210,0.9747100000000001,2759.86983,421.36333,2325.0,0.97683,572.6
2745.22,3240,0.9917799999999999,2759.56567,426.42167,2355.0,0.97716,578.0
2736.95,3270,1.0008,2758.89567,431.48833,2385.0,0.97787,583.5
2739.17,3300,0.9983700000000001,2757.96367,436.56,2415.0,0.97885,588.8
2721.49,3330,1.01795,2755.85217,441.64167,2445.0,0.98101,594.2
2718.95,3360,1.02081,2754.386,446.73,2475.0,0.98256,599.7
2711.36,3390,1.02941,2753.8605,451.83,2505.0,0.98315,605.2
2703.31,3420,1.03863,2753.16917,456.93833,2535.0,0.98392,610.6
2693.25,3450,1.05031,2751.60517,462.055,2565.0,0.98563,616.1
2691.19,3480,1.05273,2750.10483,467.18333,2595.0,0.98728,621.8
2676.86,3510,1.06972,2750.58083,472.32333,2625.0,0.9867,627.4
2681.13,3540,1.0646200000000001,2749.40617,477.49,2655.0,0.98803,633.4
2683.25,3570,1.0621,2747.679,482.67833,2685.0,0.98993,639.5
2678.97,3600,1.0672,2747.25917,487.885,2715.0,0.99042,645.6
2685.25,3630,1.0597299999999998,2745.56267,493.11,2745.0,0.99229,651.6
2673.02,3660,1.07434,2744.053,498.34667,2775.0,0.99399,657.2
2671.26,3690,1.07646,2742.588,503.58833,2805.0,0.99565,662.5
2693.31,3720,1.05024,2741.4865,508.83167,2835.0,0.99688,667.5
2685.25,3750,1.0597299999999998,2740.285,514.07667,2865.0,0.99823,672.4
2685.25,3780,1.0597299999999998,2738.48667,519.32167,2895.0,1.0002,677.4
2682.97,3810,1.06243,2738.373,524.57167,2925.0,1.00033,682.6
2665.88,3840,1.08299,2736.57433,529.82833,2955.0,1.00236,687.8
2677.32,3870,1.0691700000000002,2735.14167,535.08833,2985.0,1.00397,693.0
2697.19,3900,1.04572,2735.05883,540.35167,3015.0,1.00407,698.2
2683.32,3930,1.0620100000000001,2734.20167,545.625,3045.0,1.00505,703.6
2675.26,3960,1.07164,2733.5495,550.90333,3075.0,1.00581,709.0
2672.81,3990,1.07459,2732.2455,556.18667,3105.0,1.00729,714.3
2695.25,4020,1.04797,2731.37517,561.47333,3135.0,1.00827,719.6
2677.26,4050,1.06924,2729.41133,566.76167,3165.0,1.01043,724.8
2681.38,4080,1.0643200000000002,2728.3815,572.055,3195.0,1.0116,730.2
2681.25,4110,1.0644799999999999,2728.72383,577.35,3225.0,1.01119,735.4
2681.19,4140,1.06455,2726.856,582.64667,3255.0,1.01324,740.7
2677.38,4170,1.0691,2725.72617,587.94667,3285.0,1.01452,746.0
2691.19,4200,1.05273,2724.54917,593.25167,3315.0,1.01584,751.3
