Size,Time,RetracaoCubica,60ma_S,60ma_T,60ma_t,60ma_R,Temperature
2676.15,0,1.0,,,,,28.4
2690.0,30,0.9846299999999999,,,,,32.6
2682.06,60,0.9934,,,,,34.6
2696.06,90,0.97801,,,,,36.8
2698.06,120,0.9758399999999999,,,,,39.0
2674.22,150,1.00217,,,,,41.7
2684.15,180,0.9910899999999999,,,,,44.4
2690.06,210,0.9845700000000001,,,,,47.3
2692.13,240,0.9823,,,,,50.2
2686.06,270,0.9889700000000001,,,,,53.3
2672.4,300,1.0042200000000001,,,,,56.5
2684.09,330,0.99115,,,,,59.8
2692.07,360,0.98236,,,,,63.3
2698.09,390,0.9758,,,,,66.6
2694.11,420,0.98013,,,,,70.0
2698.07,450,0.97582,,,,,73.6
2694.09,480,0.98016,,,,,77.2
2686.11,510,0.98892,,,,,80.9
2694.07,540,0.9801799999999999,,,,,84.7
2694.07,570,0.9801799999999999,,,,,88.3
2700.15,600,0.97357,,,,,92.2
2702.27,630,0.9712799999999999,,,,,96.0
2690.11,660,0.98451,,,,,99.8
2698.13,690,0.9757600000000001,,,,,103.7
2690.17,720,0.98445,,,,,107.7
2696.0,750,0.9780700000000001,,,,,111.8
2686.22,780,0.9888,,,,,115.8
2692.09,810,0.98234,,,,,119.9
2700.11,840,0.9736100000000001,,,,,124.1
2692.13,870,0.9823,,,,,128.3
2682.24,900,0.9932,,,,,132.6
2698.15,930,0.9757399999999999,,,,,136.8
2694.05,960,0.9802,,,,,141.1
2696.15,990,0.9779100000000001,,,,,145.5
2694.13,1020,0.98011,,,,,149.8
2692.07,1050,0.98236,,,,,154.2
2698.0,1080,0.9759,,,,,158.7
2702.0,1110,0.97157,,,,,163.2
2686.22,1140,0.9888,,,,,167.8
2256.29,1170,1.66858,,,,,172.4
2695.78,1200,0.97831,,,,,177.0
2692.3,1230,0.98211,,,,,181.6
2573.51,1260,1.12449,,,,,186.3
2687.84,1290,0.98701,,,,,190.9
2678.85,1320,0.99698,,,,,195.5
2697.59,1350,0.97635,,,,,200.1
2702.13,1380,0.9714299999999999,,,,,204.8
2518.01,1410,1.20049,,,,,209.4
2524.38,1440,1.19143,,,,,213.9
2491.22,1470,1.2396399999999999,,,,,218.7
2546.3,1590,1.1609200000000002,,,,,222.3
2783.85,1500,0.8883700000000001,,,,,223.4
2538.54,1620,1.1716,,,,,224.1
2823.67,1530,0.85131,,,,,228.1
2657.69,1560,1.02098,,,,,233.0
2686.54,1650,0.98844,,,,,234.0
2664.04,1680,1.0137,,,,,243.2
2664.04,1710,1.0137,,,,,251.0
2664.04,1740,1.0137,,,,,257.9
2664.04,1770,1.0137,2669.61933,135.165,885.0,1.01323,264.1
2664.04,1800,1.0137,2669.4175,139.18833,915.0,1.01346,269.8
2664.04,1830,1.0137,2668.98483,143.235,945.0,1.01394,275.4
2338.03,1860,1.4996200000000002,2663.251,147.335,975.0,1.02238,280.6
2342.28,1890,1.49147,2657.35467,151.48667,1005.0,1.03093,285.9
2659.03,1920,1.01944,2656.70417,155.68667,1035.0,1.03166,291.0
2439.52,1950,1.32013,2652.7925,159.92667,1065.0,1.03696,296.1
2365.35,1980,1.44826,2647.47917,164.20667,1095.0,1.04458,301.2
2365.35,2010,1.44826,2642.06733,168.52167,1125.0,1.05231,306.2
2646.68,2040,1.03378,2641.30983,172.87,1155.0,1.05317,311.1
2646.68,2070,1.03378,2640.6535,177.25,1185.0,1.05391,316.1
2646.68,2100,1.03378,2640.22483,181.65667,1215.0,1.05441,320.9
2646.68,2130,1.03378,2639.60133,186.09,1245.0,1.05512,325.8
2646.68,2160,1.03378,2638.84483,190.54667,1275.0,1.05597,330.7
2646.68,2190,1.03378,2637.988,195.025,1305.0,1.05694,335.3
2646.68,2220,1.03378,2637.1975,199.525,1335.0,1.05783,340.0
2646.68,2250,1.03378,2636.341,204.045,1365.0,1.0588,344.8
2646.68,2280,1.03378,2635.55083,208.58667,1395.0,1.05969,349.7
2646.68,2310,1.03378,2634.89367,213.14667,1425.0,1.06044,354.5
2646.68,2340,1.03378,2634.10383,217.725,1455.0,1.06133,359.4
2646.68,2370,1.03378,2633.314,222.325,1485.0,1.06223,364.3
2646.68,2400,1.03378,2632.42283,226.94333,1515.0,1.06323,369.3
3016.27,2430,0.69843,2637.65617,231.58333,1545.0,1.05868,374.4
3016.27,2460,0.69843,2643.09217,236.24333,1575.0,1.05392,379.4
2958.0,2490,0.74052,2647.42333,240.925,1605.0,1.04999,384.6
2272.29,2520,1.63358,2640.45867,245.625,1635.0,1.06081,389.7
2272.29,2550,1.63358,2633.39683,250.34167,1665.0,1.07174,394.8
2966.02,2580,0.73453,2638.06017,255.07667,1695.0,1.0675,399.9
2946.02,2610,0.74959,2642.29233,259.83,1725.0,1.06362,405.1
2585.47,2640,1.10895,2640.38167,264.59833,1755.0,1.06588,410.2
2585.47,2670,1.10895,2638.604,269.385,1785.0,1.06799,415.5
2984.02,2700,0.72132,2643.63367,274.18667,1815.0,1.06346,420.7
2984.02,2730,0.72132,2648.39817,279.00833,1845.0,1.05922,426.1
2984.02,2760,0.72132,2653.231,283.845,1875.0,1.0549,431.3
2756.32,2790,0.9152600000000001,2654.23383,288.69667,1905.0,1.05386,436.6
2710.9,2820,0.9620299999999999,2654.51333,293.56333,1935.0,1.05356,441.8
2692.24,2850,0.9821799999999999,2654.51617,298.47667,1965.0,1.05355,449.0
2630.37,2880,1.05313,2653.389,303.37167,1995.0,1.05484,452.4
2682.3,2910,0.9931399999999999,2653.06067,308.26833,2025.0,1.0552,457.0
