Size,Time,RetracaoCubica,60ma_S,60ma_T,60ma_t,60ma_R,Temperature
2410.52,0,1.0,,,,,45.8
2670.03,30,0.7358399999999999,,,,,48.2
2670.03,60,0.7358399999999999,,,,,50.4
2510.37,90,0.88536,,,,,52.8
2732.35,120,0.6866300000000001,,,,,55.3
2484.72,150,0.91306,,,,,57.9
2368.22,180,1.05455,,,,,60.7
2368.22,210,1.05455,,,,,63.5
2547.66,240,0.84705,,,,,66.4
2454.03,270,0.94775,,,,,69.3
2454.03,300,0.94775,,,,,72.3
2365.42,330,1.0583,,,,,75.5
2649.45,360,0.75312,,,,,78.6
3070.83,390,0.48368999999999995,,,,,81.8
2772.21,420,0.6574399999999999,,,,,85.0
2772.21,450,0.6574399999999999,,,,,88.3
2772.21,480,0.6574399999999999,,,,,91.6
2515.03,510,0.88045,,,,,95.0
2418.85,540,0.9897,,,,,98.4
2508.29,570,0.88756,,,,,101.8
2508.29,600,0.88756,,,,,105.4
2684.64,630,0.7238899999999999,,,,,109.0
2684.64,660,0.7238899999999999,,,,,112.6
2428.35,690,0.9781299999999999,,,,,116.3
2428.35,720,0.9781299999999999,,,,,120.2
1920.0,750,1.97892,,,,,123.9
2240.7,780,1.2450299999999999,,,,,127.7
2516.03,810,0.8794,,,,,131.3
2542.01,840,0.8527100000000001,,,,,135.0
2542.01,870,0.8527100000000001,,,,,138.9
2542.01,900,0.8527100000000001,,,,,142.8
2400.75,930,1.01226,,,,,146.7
2752.05,960,0.67199,,,,,150.7
2752.05,990,0.67199,,,,,154.7
2752.05,1020,0.67199,,,,,158.7
2752.05,1050,0.67199,,,,,162.9
2752.05,1080,0.67199,,,,,166.9
2192.67,1110,1.32866,,,,,171.0
2192.67,1140,1.32866,,,,,175.1
2032.19,1170,1.66893,,,,,179.2
2032.19,1200,1.66893,,,,,183.4
2692.81,1230,0.71732,,,,,187.6
1964.01,1260,1.84885,,,,,191.8
2156.58,1290,1.39648,,,,,196.0
2609.84,1320,0.78794,,,,,200.2
2644.4,1350,0.75744,,,,,204.5
2655.88,1380,0.74766,,,,,208.7
2074.16,1410,1.56966,,,,,212.8
2596.65,1440,0.8,,,,,217.3
2565.07,1470,0.8299200000000001,,,,,221.6
2588.65,1500,0.8074399999999999,,,,,225.8
2594.56,1530,0.80194,,,,,230.1
2562.75,1560,0.8321700000000001,,,,,234.5
2594.44,1590,0.80205,,,,,238.9
2610.48,1620,0.7873600000000001,,,,,243.2
2600.25,1650,0.79669,,,,,247.6
2580.48,1680,0.81514,,,,,251.9
2600.94,1710,0.79605,,,,,256.4
2580.41,1740,0.8152,,,,,260.7
2568.11,1770,0.8269700000000001,2516.715,145.76333,885.0,0.92817,265.2
2561.13,1800,0.83375,2519.22517,149.495,915.0,0.9254,269.7
2584.01,1830,0.8118,2517.7915,153.26,945.0,0.92667,274.1
2572.57,1860,0.82268,2516.16717,157.06333,975.0,0.92811,278.6
2572.57,1890,0.82268,2517.20383,160.9,1005.0,0.92707,283.0
2572.41,1920,0.82283,2514.53817,164.77167,1035.0,0.92934,287.6
2566.57,1950,0.8284600000000001,2515.90233,168.67667,1065.0,0.92793,292.2
