Time,Size,RetracaoCubica,60ma_S,60ma_T,60ma_t,60ma_R,Temperature
2970,2460.98,1.017299272,2453.312,353.59333,2085,1.017299272,499.5
3000,2461.15,1.017088482,2453.38467,358.54167,2115,1.017088482,504.6
3030,2461.32,1.016877749,2453.33667,363.47,2145,1.016877749,509.9
3060,2462.8,1.015045597,2453.47933,368.38667,2175,1.015045597,515
3090,2468.95,1.007479231,2453.69433,373.315,2205,1.007479231,520.2
3120,2455.52,1.024100455,2453.81217,378.25333,2235,1.024100455,525.3
3150,2459.16,1.019559623,2453.9635,383.19,2265,1.019559623,530.5
3180,2458.98,1.019783538,2453.97,388.125,2295,1.019783538,535.7
3210,2460.31,1.018130602,2453.9955,393.07167,2325,1.018130602,541
3240,2449.54,1.031619112,2453.79033,398.03167,2355,1.031619112,546.2
3270,2449.54,1.031619112,2453.93467,403.01667,2385,1.031619112,551.5
3300,2440.54,1.043074183,2453.9085,408.01833,2415,1.043074183,556.7
3330,2435.66,1.04935635,2453.76783,413.00667,2445,1.04935635,561.9
3360,2414.46,1.077241167,2453.17417,418.00667,2475,1.077241167,567.2
3390,2410.31,1.082815038,2452.5505,423.00667,2505,1.082815038,572.4
3420,2386.72,1.115240595,2451.6665,428.02,2535,1.115240595,577.7
3450,2358.28,1.156077324,2448.696,433.02667,2565,1.156077324,583
3480,2358.28,1.156077324,2447.30183,438.03333,2595,1.156077324,588.2
3510,2358.86,1.15522476,2445.7785,443.04833,2625,1.15522476,593.6
3540,2322.85,1.209788604,2443.872,448.06833,2655,1.209788604,598.9
3570,2322.85,1.209788604,2441.642,453.09833,2685,1.209788604,604.1
3600,2289.58,1.263297155,2438.69917,458.13667,2715,1.263297155,609.4
3630,2270.68,1.295105603,2435.44133,463.18333,2745,1.295105603,614.7
3660,2256.6,1.319499516,2431.94883,468.23833,2775,1.319499516,620
3690,2215.04,1.395173654,2426.58033,473.31167,2805,1.395173654,625.4
3720,2208.54,1.407528438,2421.25033,478.41333,2835,1.407528438,632
3750,2202.04,1.420029529,2424.11467,483.52333,2865,1.420029529,637.4
3780,2195.54,1.432679099,2419.52867,488.62833,2895,1.432679099,641.8
3810,2189.04,1.445479358,2417.10417,493.73167,2925,1.445479358,646.8
3840,2182.54,1.458432558,2413.705,498.84,2955,1.458432558,652.1
3870,2175.46,1.472718287,2408.45567,503.955,2985,1.472718287,657.4
3900,2175.46,1.472718287,2403.5755,509.08,3015,1.472718287,662.8
3930,2175.46,1.472718287,2397.313,514.225,3045,1.472718287,668.2
3960,2175.46,1.472718287,2390.70017,519.365,3075,1.472718287,673.5
