Size,Time,RetracaoCubica,60ma_S,60ma_T,60ma_t,60ma_R,Temperature
2475.09,0,1.0,,,,,53.3
2469.3,30,1.00705,,,,,60.3
2472.53,60,1.00311,,,,,62.9
2463.14,90,1.01463,,,,,65.3
2472.53,120,1.00311,,,,,68.0
2462.95,150,1.01486,,,,,70.6
2470.73,180,1.0053,,,,,73.4
2466.56,210,1.01041,,,,,76.2
2476.15,240,0.99872,,,,,79.6
2468.92,270,1.00752,,,,,83.8
2472.35,300,1.0033299999999998,,,,,87.6
2470.54,330,1.0055399999999999,,,,,91.5
2477.96,360,0.9965299999999999,,,,,95.3
2474.34,390,1.00091,,,,,99.0
2477.96,420,0.9965299999999999,,,,,102.9
2476.15,450,0.99872,,,,,106.7
2468.55,480,1.00797,,,,,110.5
2472.35,510,1.0033299999999998,,,,,113.7
2472.35,540,1.0033299999999998,,,,,116.4
2472.17,570,1.00355,,,,,119.1
2468.74,600,1.0077399999999999,,,,,121.9
2461.15,630,1.01709,,,,,125.6
2468.37,660,1.00819,,,,,128.7
2473.98,690,1.00135,,,,,132.4
2475.97,720,0.9989299999999999,,,,,136.7
2470.92,750,1.0050700000000001,,,,,140.7
2473.98,780,1.00135,,,,,145.6
2456.6,810,1.02275,,,,,149.3
2472.17,840,1.00355,,,,,153.4
2472.17,870,1.00355,,,,,158.4
2470.92,900,1.0050700000000001,,,,,162.5
2474.16,930,1.0011299999999999,,,,,166.4
2464.2,960,1.01332,,,,,170.7
2470.18,990,1.00597,,,,,174.3
2470.18,1020,1.00597,,,,,179.9
2466.19,1050,1.0108700000000002,,,,,183.7
2452.62,1080,1.0277399999999999,,,,,188.0
2464.02,1110,1.0135399999999999,,,,,193.0
2460.59,1140,1.01778,,,,,197.6
2464.2,1170,1.01332,,,,,202.1
2456.79,1200,1.02251,,,,,207.7
2464.2,1230,1.01332,,,,,214.2
2454.24,1260,1.0257,,,,,220.0
2456.05,1290,1.02344,,,,,224.5
2448.45,1320,1.033,,,,,229.0
2450.08,1350,1.03094,,,,,234.3
2458.59,1380,1.02027,,,,,239.6
2458.78,1410,1.02003,,,,,244.2
2461.85,1440,1.0162200000000001,,,,,248.6
2440.88,1470,1.04264,,,,,252.4
2442.11,1500,1.04106,,,,,256.6
2444.1,1530,1.03852,,,,,262.6
2450.08,1560,1.03094,,,,,267.2
2447.73,1590,1.03391,,,,,272.4
2439.76,1620,1.04407,,,,,276.9
2444.29,1650,1.0382799999999999,,,,,282.6
2441.93,1680,1.04129,,,,,287.8
2450.26,1710,1.03071,,,,,292.7
2437.24,1740,1.04732,,,,,297.7
2456.65,1770,1.0226899999999999,2463.13317,167.67167,885.0,1.01476,302.3
2466.15,1800,1.01091,2462.98417,171.90167,915.0,1.01494,307.1
2466.15,1830,1.01091,2462.93167,176.095,945.0,1.01501,311.9
2466.15,1860,1.01091,2462.82533,180.325,975.0,1.01514,316.7
2537.15,1890,0.9284,2464.05883,184.58667,1005.0,1.0137,321.0
2537.15,1920,0.9284,2465.13583,188.885,1035.0,1.01245,325.9
2045.49,1950,1.7716599999999998,2458.17817,193.22167,1065.0,1.02507,330.8
2492.51,1980,0.9791799999999999,2458.54117,197.59,1095.0,1.02463,335.5
2362.82,2010,1.14943,2456.81217,201.99667,1125.0,1.02695,340.6
2421.3,2040,1.0681399999999999,2455.898,206.43,1155.0,1.02811,345.6
2532.31,2070,0.93373,2456.9545,210.875,1185.0,1.02688,350.5
2517.84,2100,0.9499200000000001,2457.71267,215.33667,1215.0,1.02599,355.3
2577.47,2130,0.88551,2459.49483,219.80333,1245.0,1.02399,359.5
2572.23,2160,0.8909299999999999,2461.066,224.3,1275.0,1.02223,365.1
2393.08,2190,1.10637,2459.71167,228.82167,1305.0,1.02398,370.3
2454.24,2220,1.0257,2459.31633,233.36333,1335.0,1.02447,375.4
2455.76,2250,1.0238,2458.9765,237.925,1365.0,1.02489,380.4
2462.21,2280,1.01578,2458.87083,242.50833,1395.0,1.02502,385.5
2449.9,2310,1.03116,2458.49667,247.12167,1425.0,1.02548,390.5
2467.12,2340,1.0097200000000002,2458.4095,251.77333,1455.0,1.02559,395.5
2448.83,2370,1.03252,2458.0205,256.46333,1485.0,1.02607,400.5
2462.39,2400,1.01555,2457.91467,261.19,1515.0,1.0262,405.5
2455.87,2430,1.02366,2457.82667,265.93667,1545.0,1.02631,410.4
2441.43,2460,1.04193,2457.37767,270.71667,1575.0,1.02687,415.5
2448.83,2490,1.03252,2456.9585,275.51667,1605.0,1.02739,420.4
2477.46,2520,0.99713,2456.98333,280.32833,1635.0,1.02736,425.4
2452.81,2550,1.0275,2456.6815,285.13833,1665.0,1.02774,429.3
2441.05,2580,1.0424200000000001,2456.13267,289.91667,1695.0,1.02842,432.3
2458.97,2610,1.0198,2456.17217,294.73333,1725.0,1.02837,438.3
2467.13,2640,1.00971,2456.08817,299.575,1755.0,1.02847,443.9
2417.55,2670,1.07312,2455.17783,304.42,1785.0,1.02963,449.1
2444.84,2700,1.03758,2454.74317,309.28333,1815.0,1.03018,454.3
2444.66,2730,1.0378100000000001,2454.2515,314.165,1845.0,1.03079,459.3
2453.7,2760,1.0263799999999998,2454.0765,319.05833,1875.0,1.031,464.3
2457.69,2790,1.02139,2453.86833,323.97667,1905.0,1.03126,469.4
2454.24,2820,1.0257,2453.60267,328.88333,1935.0,1.03159,474.3
2455.7,2850,1.02388,2453.42783,333.81,1965.0,1.03181,479.3
2459.5,2880,1.01914,2453.5425,338.74833,1995.0,1.03166,484.3
2455.52,2910,1.0241,2453.40083,343.68833,2025.0,1.03184,489.4
2458.48,2940,1.02041,2453.36567,348.63667,2055.0,1.03188,494.5
2460.98,2970,1.0173,2453.312,353.59333,2085.0,1.03195,499.5
2461.15,3000,1.01709,2453.38467,358.54167,2115.0,1.03186,504.6
